community_id,size,percentage_of_total,primary_genre,genre_dominance,top_publisher,publisher_concentration,avg_final_price,price_range,price_tier,metacritic_avg,quality_coverage,windows_support,cross_platform_support
0,127,2.08,Indie,72.44,Game Hollywood Games,4.72,22.06,$0-$93,Mid-range,74.0,4.72,99.21,22.05
1,921,15.07,Indie,36.81,Daedalic Entertainment,4.34,30.51,$0-$225,Mid-range,72.383,10.21,100.0,58.9
2,209,3.42,Action,54.07,THQ Nordic,5.74,47.43,$0-$253,Premium,54.019,100.0,95.69,22.485
3,373,6.1,Indie,75.34,PlayWay S.A.,2.14,22.03,$0-$93,Mid-range,77.143,1.88,96.51,25.064999999999998
4,455,7.44,Indie,78.68,Octo Games,1.98,30.66,$0-$159,Mid-range,74.25,4.4,98.46,25.715
5,136,2.22,Indie,83.09,PlayWay S.A.,4.41,27.88,$0-$93,Mid-range,72.333,2.21,96.32,22.425
6,454,7.43,Indie,73.79,WayForward,1.76,30.35,$0-$132,Mid-range,77.214,6.17,97.14,25.88
7,249,4.07,Indie,82.73,Kagura Games,8.43,28.23,$0-$111,Mid-range,75.5,2.41,97.19,30.12
8,502,8.21,Indie,77.69,GameHouse,2.39,27.56,$0-$160,Mid-range,75.643,2.79,98.01,25.494999999999997
9,548,8.96,Indie,76.46,Alawar Casual,5.47,26.96,$0-$170,Mid-range,75.75,4.38,97.81,24.270000000000003
10,371,6.07,Indie,73.58,LTD.,2.7,21.18,$0-$111,Mid-range,73.5,1.62,97.84,28.299999999999997
11,131,2.14,Indie,84.73,Notovia,3.82,20.47,$0-$93,Mid-range,76.5,1.53,98.47,24.43
12,311,5.09,Indie,85.21,Sokpop Collective,2.25,23.39,$0-$150,Mid-range,79.727,3.54,97.43,24.275
13,966,15.8,Indie,73.19,Ubisoft,1.45,30.43,$0-$132,Mid-range,83.589,19.67,97.62,25.415
14,278,4.55,RPG,26.62,LTD.,16.19,178.75,$0-$750,Luxury,77.0,13.31,99.64,6.475
15,82,1.34,Indie,78.05,Humongous Entertainment,18.29,28.87,$0-$111,Mid-range,75.2,6.1,98.78,42.685
