analysis_type,community_id,size,dataset_size,primary_genre,genre_percentage,top_publisher,publisher_percentage,avg_final_price,median_final_price,price_range,avg_metacritic,metacritic_coverage,windows_support,mac_support,linux_support
Dead Games,DG_0,127,6113,Indie,72.44,Game Hollywood Games,4.72,22.06,12.49,$0-$93,74.0,4.72,99.21,28.35,15.75
Dead Games,DG_1,921,6113,Indie,36.81,Daedalic Entertainment,4.34,30.51,12.45,$0-$225,72.383,10.21,100.0,60.91,56.89
Dead Games,DG_2,209,6113,Action,54.07,THQ Nordic,5.74,47.43,36.95,$0-$253,54.019,100.0,95.69,27.75,17.22
Dead Games,DG_3,373,6113,Indie,75.34,PlayWay S.A.,2.14,22.03,18.5,$0-$93,77.143,1.88,96.51,30.29,19.84
Dead Games,DG_4,455,6113,Indie,78.68,Octo Games,1.98,30.66,21.95,$0-$159,74.25,4.4,98.46,28.13,23.3
Dead Games,DG_5,136,6113,Indie,83.09,PlayWay S.A.,4.41,27.88,21.95,$0-$93,72.333,2.21,96.32,29.41,15.44
Dead Games,DG_6,454,6113,Indie,73.79,WayForward,1.76,30.35,19.99,$0-$132,77.214,6.17,97.14,31.06,20.7
Dead Games,DG_7,249,6113,Indie,82.73,Kagura Games,8.43,28.23,19.99,$0-$111,75.5,2.41,97.19,32.53,27.71
Dead Games,DG_8,502,6113,Indie,77.69,GameHouse,2.39,27.56,18.5,$0-$160,75.643,2.79,98.01,31.47,19.52
Dead Games,DG_9,548,6113,Indie,76.46,Alawar Casual,5.47,26.96,18.5,$0-$170,75.75,4.38,97.81,29.01,19.53
Dead Games,DG_10,371,6113,Indie,73.58,LTD.,2.7,21.18,15.99,$0-$111,73.5,1.62,97.84,35.58,21.02
Dead Games,DG_11,131,6113,Indie,84.73,Notovia,3.82,20.47,14.5,$0-$93,76.5,1.53,98.47,26.72,22.14
Dead Games,DG_12,311,6113,Indie,85.21,Sokpop Collective,2.25,23.39,14.99,$0-$150,79.727,3.54,97.43,29.9,18.65
Dead Games,DG_13,966,6113,Indie,73.19,Ubisoft,1.45,30.43,21.95,$0-$132,83.589,19.67,97.62,30.75,20.08
Dead Games,DG_14,278,6113,RPG,26.62,LTD.,16.19,178.75,169.95,$0-$750,77.0,13.31,99.64,8.99,3.96
Dead Games,DG_15,82,6113,Indie,78.05,Humongous Entertainment,18.29,28.87,25.95,$0-$111,75.2,6.1,98.78,50.0,35.37
Full Dataset,FD_0,1126,7525,Indie,36.59,Daedalic Entertainment,4.0,,,,73.29,0.0,100.0,62.26,58.26
Full Dataset,FD_1,563,7525,Action,31.08,LTD.,10.66,,,,76.17,0.0,99.11,17.05,9.59
Full Dataset,FD_2,366,7525,Action,52.46,THQ Nordic,3.55,,,,56.02,0.0,97.27,26.5,16.39
Full Dataset,FD_3,315,7525,Indie,73.02,Hosted Games,6.03,,,,75.67,0.0,99.37,38.1,29.84
Full Dataset,FD_4,135,7525,Indie,66.67,FIVE-BN GAMES,13.33,,,,74.0,0.0,100.0,36.3,19.26
Full Dataset,FD_5,85,7525,Indie,81.18,Bloober Team SA,4.71,,,,73.0,0.0,98.82,22.35,20.0
Full Dataset,FD_6,520,7525,Indie,75.38,GameHouse,2.5,,,,77.45,0.0,98.08,29.62,22.5
Full Dataset,FD_7,1079,7525,Indie,77.66,tinyBuild,1.11,,,,77.81,0.0,96.57,29.75,20.3
Full Dataset,FD_8,860,7525,Indie,81.05,Inc.,2.44,,,,77.9,0.0,97.56,33.14,21.51
Full Dataset,FD_9,512,7525,Indie,70.12,Kairosoft Co.,4.49,,,,83.98,0.0,97.66,27.34,19.14
Full Dataset,FD_10,129,7525,Indie,72.09,Qumaron,11.63,,,,82.0,0.0,97.67,24.81,16.28
Full Dataset,FD_11,695,7525,Indie,75.97,PlayWay S.A.,1.58,,,,77.46,0.0,97.12,28.92,18.71
Full Dataset,FD_12,833,7525,Indie,76.83,Alawar Casual,4.08,,,,76.82,0.0,97.24,29.29,19.45
Full Dataset,FD_13,307,7525,Indie,82.41,Octo Games,2.93,,,,75.4,0.0,97.72,26.71,19.54
