appid,name,month,avg_players,peak_players,change_percent,crawl_timestamp,crawl_status
3085660,Side Alley,,0,0,0,2025-08-25T00:50:27.711338,no_data
3085680,カミゴロシ,,0,0,0,2025-08-25T00:50:28.366727,no_data
3085700,绝色特工,,0,0,0,2025-08-25T00:50:29.006773,no_data
3085710,Trifoil,,0,0,0,2025-08-25T00:50:29.581647,no_data
3085730,Bulletrooms,,0,0,0,2025-08-25T00:50:30.105681,no_data
3085750,1971 Playtest,,0,0,0,2025-08-25T00:50:30.726737,no_data
3085770,Cat On My Desktop,Last 30 Days,4.67,14,10.06,2025-08-25T00:50:31.364632,success
3085770,Cat On My Desktop,July 2025,4.24,9,-9.36,2025-08-25T00:50:31.364675,success
3085770,Cat On My Desktop,June 2025,4.68,10,21.78,2025-08-25T00:50:31.364690,success
3085770,Cat On My Desktop,May 2025,3.84,9,-0.34,2025-08-25T00:50:31.364703,success
3085770,Cat On My Desktop,April 2025,3.86,9,-13.79,2025-08-25T00:50:31.364715,success
3085770,Cat On My Desktop,March 2025,4.47,12,11.56,2025-08-25T00:50:31.364727,success
3085770,Cat On My Desktop,February 2025,4.01,11,-21.25,2025-08-25T00:50:31.364737,success
3085770,Cat On My Desktop,January 2025,5.09,15,1.35,2025-08-25T00:50:31.364749,success
3085770,Cat On My Desktop,December 2024,5.03,17,28.38,2025-08-25T00:50:31.364760,success
3085770,Cat On My Desktop,November 2024,3.91,9,-22.41,2025-08-25T00:50:31.364771,success
3085770,Cat On My Desktop,October 2024,5.05,14,-48.37,2025-08-25T00:50:31.364782,success
3085770,Cat On My Desktop,September 2024,9.77,25,-51.32,2025-08-25T00:50:31.364792,success
3085770,Cat On My Desktop,August 2024,20.07,63,0,2025-08-25T00:50:31.364804,success
3085780,Private Garden,,0,0,0,2025-08-25T00:50:32.068796,no_data
3085790,Private Garden Demo,,0,0,0,2025-08-25T00:50:32.726676,no_data
3085800,Fate of Fire: Kyvedy Guardiah,Last 30 Days,0.0,0,0,2025-08-25T00:50:33.309445,success
3085810,Blind Exposure,,0,0,0,2025-08-25T00:50:33.844681,no_data
3085820, BlazBlue Entropy Effect - Rachel Character Pack,,0,0,0,2025-08-25T00:50:34.505527,no_data
3085830,Rat Climber Demo,,0,0,0,2025-08-25T00:50:35.191661,no_data
3085860,Flappiper: Remade,,0,0,0,2025-08-25T00:50:35.696740,no_data
3085890,世外桃源 Land Of Idyllic Beauty,Last 30 Days,3.79,11,-52.39,2025-08-25T00:50:36.381263,success
3085890,世外桃源 Land Of Idyllic Beauty,July 2025,7.96,27,107.42,2025-08-25T00:50:36.381325,success
3085890,世外桃源 Land Of Idyllic Beauty,June 2025,3.84,13,-39.93,2025-08-25T00:50:36.381341,success
3085890,世外桃源 Land Of Idyllic Beauty,May 2025,6.39,23,12.92,2025-08-25T00:50:36.381354,success
3085890,世外桃源 Land Of Idyllic Beauty,April 2025,5.65,14,58.4,2025-08-25T00:50:36.381365,success
3085890,世外桃源 Land Of Idyllic Beauty,March 2025,3.57,13,-27.61,2025-08-25T00:50:36.381377,success
3085890,世外桃源 Land Of Idyllic Beauty,February 2025,4.93,18,50.5,2025-08-25T00:50:36.381388,success
