,Indie Casual,Indie Adventure,Indie Puzzle,Indie Story,Indie Simulation,Indie Strategy,Indie Horror,Indie Action,Indie RPG,Action Arcade,Visual Novels,AAA Action,Sports & Racing,Children's Games
Indie Casual,0.9999999999999998,0.7696623363839716,0.9126810728134074,0.8966159566991764,0.9565932535647986,0.9912714762822923,0.9719702751431751,0.9674552526486083,0.9207493622662168,0.519852089166848,0.8554338062744742,0.5435124611945773,0.8172632242957211,0.9765740837540792
Indie Adventure,0.7696623363839716,0.9999999999999998,0.8834689386935936,0.8766854747784947,0.7850729433997411,0.7835844222182006,0.760203244874526,0.7553730210155891,0.7228399196191463,0.5143559163498698,0.6903939809484162,0.4841849229312051,0.6672085121620251,0.7815668772467665
Indie Puzzle,0.9126810728134074,0.8834689386935936,0.9999999999999999,0.9918177373019382,0.8935913411145507,0.9166596686153751,0.9042620569017377,0.9016623238273276,0.8467314521204771,0.5181709234414953,0.7907227558237895,0.5488007837868968,0.8101135287659298,0.9214777680795685
Indie Story,0.8966159566991764,0.8766854747784947,0.9918177373019382,1.0,0.8949593020944294,0.9061972789021844,0.9005314353851779,0.8975626532364379,0.8584229586527875,0.5340415396501985,0.7798348733579267,0.5583501951882927,0.8406508889764993,0.9054537939732661
Indie Simulation,0.9565932535647986,0.7850729433997411,0.8935913411145507,0.8949593020944294,0.9999999999999999,0.9634078360264343,0.9705768908167447,0.9412486248818982,0.975893084160275,0.5170057053377068,0.8265394487953819,0.5504094025549054,0.8098840402998877,0.9549874594487864
Indie Strategy,0.9912714762822923,0.7835844222182006,0.9166596686153751,0.9061972789021844,0.9634078360264343,1.0000000000000002,0.9816115584176417,0.9838659708552174,0.931212889128456,0.530238225657819,0.8603261486175093,0.525298742388508,0.837155818391989,0.9807801222459336
Indie Horror,0.9719702751431751,0.760203244874526,0.9042620569017377,0.9005314353851779,0.9705768908167447,0.9816115584176417,1.0,0.9733398513288267,0.9460242934354407,0.4743764738744991,0.8651516716492055,0.48163075061843214,0.852008745880116,0.9913154327910568
Indie Action,0.9674552526486083,0.7553730210155891,0.9016623238273276,0.8975626532364379,0.9412486248818982,0.9838659708552174,0.9733398513288267,0.9999999999999997,0.927843804953084,0.4601197109416167,0.8554195654306311,0.4399696949993661,0.8447842825870397,0.9668465643031171
Indie RPG,0.9207493622662168,0.7228399196191463,0.8467314521204771,0.8584229586527875,0.975893084160275,0.931212889128456,0.9460242934354407,0.927843804953084,1.0000000000000002,0.46906357550977756,0.8113040179195078,0.43350021019858015,0.8180511623271421,0.9218743090507875
Action Arcade,0.519852089166848,0.5143559163498698,0.5181709234414953,0.5340415396501985,0.5170057053377068,0.530238225657819,0.4743764738744991,0.4601197109416167,0.46906357550977756,0.9999999999999999,0.5175663933184679,0.4716487874575239,0.47479829916638894,0.4657485908554332
Visual Novels,0.8554338062744742,0.6903939809484162,0.7907227558237895,0.7798348733579267,0.8265394487953819,0.8603261486175093,0.8651516716492055,0.8554195654306311,0.8113040179195078,0.5175663933184679,0.9999999999999997,0.4408496708537208,0.7368906341374036,0.8713501182818038
AAA Action,0.5435124611945773,0.4841849229312051,0.5488007837868968,0.5583501951882927,0.5504094025549054,0.525298742388508,0.48163075061843214,0.4399696949993661,0.43350021019858015,0.4716487874575239,0.4408496708537208,1.0000000000000002,0.44379178559787563,0.48928465889546385
Sports & Racing,0.8172632242957211,0.6672085121620251,0.8101135287659298,0.8406508889764993,0.8098840402998877,0.837155818391989,0.852008745880116,0.8447842825870397,0.8180511623271421,0.47479829916638894,0.7368906341374036,0.44379178559787563,1.0,0.8170007485463093
Children's Games,0.9765740837540792,0.7815668772467665,0.9214777680795685,0.9054537939732661,0.9549874594487864,0.9807801222459336,0.9913154327910568,0.9668465643031171,0.9218743090507875,0.4657485908554332,0.8713501182818038,0.48928465889546385,0.8170007485463093,1.0
