community_name,Action,Adventure,Casual,Indie,RPG,Simulation,Strategy
Indie Casual,38.61,43.1,41.49,73.75,0.0,27.1,0.0
Indie Adventure,35.19,49.54,41.51,64.35,0.0,0.0,27.01
Indie Puzzle,37.33,45.43,47.68,76.01,0.0,0.0,22.79
Indie Story,39.87,40.35,42.26,78.63,0.0,0.0,27.91
Indie Simulation,44.95,43.73,37.46,79.44,0.0,26.13,0.0
Indie Strategy,40.44,40.44,42.81,75.23,0.0,28.78,0.0
Indie Horror,35.77,34.73,42.47,74.69,0.0,28.66,0.0
Indie Action,40.97,38.77,39.87,76.87,0.0,28.85,0.0
Indie RPG,39.03,39.29,46.17,84.95,0.0,32.91,0.0
Action Arcade,26.47,21.76,0.0,0.0,25.0,20.88,24.12
Visual Novels,0.0,38.49,35.2,82.89,38.16,28.29,0.0
AAA Action,52.63,39.47,0.0,39.85,20.3,0.0,22.56
Sports & Racing,33.33,0.0,42.37,83.05,0.0,39.55,37.85
Children's Games,31.98,45.35,49.4,77.09,0.0,26.25,0.0
