community_id,community_name,publisher,count,percentage
0,Indie Casual,HeR Interactive,17,1.45
0,Indie Casual,Ubisoft,16,1.37
0,Indie Casual,Ltd.,12,1.02
0,Indie Casual,PlayWay S.A.,12,1.02
0,Indie Casual,Qumaron,11,0.94
1,Indie Adventure,Daedalic Entertainment,49,7.64
1,Indie Adventure,Artifex Mundi,15,2.34
1,Indie Adventure,Grey Alien Games,13,2.03
1,Indie Adventure,Frontwing USA,13,2.03
1,Indie Adventure,Frogwares,12,1.87
2,Indie Puzzle,Alawar Casual,37,5.57
2,Indie Puzzle,MangaGamer,9,1.36
2,Indie Puzzle,Conglomerate 5,9,1.36
2,Indie Puzzle,Double Fine Productions,8,1.2
2,Indie Puzzle,HH-Games,7,1.05
3,Indie Story,LLC,20,3.2
3,Indie Story,GameHouse,15,2.4
3,Indie Story,FIVE-BN GAMES,13,2.08
3,Indie Story,Chilla's Art,8,1.28
3,Indie Story,L. Stotch,7,1.12
4,Indie Simulation,Octo Games,10,1.75
4,Indie Simulation,Euphoric Brothers,7,1.23
4,Indie Simulation,Zachtronics,6,1.05
4,Indie Simulation,Lesson of Passion,6,1.05
4,Indie Simulation,NVLMaker,5,0.88
5,Indie Strategy,Next Game,11,2.0
5,Indie Strategy,Inc.,10,1.82
5,Indie Strategy,WayForward,8,1.46
5,Indie Strategy,100 Cozy Games,8,1.46
5,Indie Strategy,tinyBuild,7,1.28
6,Indie Horror,LTD.,16,3.37
6,Indie Horror,Square Enix,10,2.11
6,Indie Horror,XDEVS LTD,9,1.89
6,Indie Horror,RewindApp,8,1.68
6,Indie Horror,INTI CREATES CO.,8,1.68
7,Indie Action,PlayWay S.A.,11,2.49
7,Indie Action,FreeMind S.A.,10,2.26
7,Indie Action,Jetdogs Studios,7,1.58
7,Indie Action,Spiderweb Software,7,1.58
7,Indie Action,10tons Ltd,6,1.36
8,Indie RPG,Sacada,10,2.58
8,Indie RPG,GrabTheGames,9,2.33
8,Indie RPG,Sokpop Collective,8,2.07
8,Indie RPG,Gamirror Games,5,1.29
8,Indie RPG,Oleg Sereda,5,1.29
9,Action Arcade,LTD.,55,16.08
9,Action Arcade,KOEI TECMO GAMES CO.,51,14.91
9,Action Arcade,Ltd.,29,8.48
9,Action Arcade,Slitherine Ltd.,28,8.19
9,Action Arcade,Milestone S.r.l.,28,8.19
10,Visual Novels,Kagura Games,23,7.72
10,Visual Novels,Hosted Games,19,6.38
10,Visual Novels,Winged Cloud,14,4.7
10,Visual Novels,Choice of Games,9,3.02
10,Visual Novels,Wolverine Studios,7,2.35
11,AAA Action,THQ Nordic,18,6.9
11,AAA Action,Fulqrum Publishing,10,3.83
11,AAA Action,2K,8,3.07
11,AAA Action,Ubisoft,7,2.68
11,AAA Action,Rebellion,7,2.68
12,Sports & Racing,PlayWay S.A.,6,3.43
12,Sports & Racing,Positech Games,5,2.86
12,Sports & Racing,Out of the Park Developments,4,2.29
12,Sports & Racing,INDIECN,4,2.29
12,Sports & Racing,DirectDoggo,2,1.14
13,Children's Games,Humongous Entertainment,21,5.05
13,Children's Games,Nightdive Studios,21,5.05
13,Children's Games,qureate,7,1.68
13,Children's Games,Game Hollywood Games,7,1.68
13,Children's Games,Notovia,6,1.44
