feature_type,field,metric,value
categorical_features,type,most_common_across_communities,game
categorical_features,type,appears_in_communities,14
categorical_features,developers,most_common_across_communities,LTD.
categorical_features,developers,appears_in_communities,2
categorical_features,publishers,most_common_across_communities,LTD.
categorical_features,publishers,appears_in_communities,2
categorical_features,categories,most_common_across_communities,Indie
categorical_features,categories,appears_in_communities,12
categorical_features,genres,most_common_across_communities,Indie
categorical_features,genres,appears_in_communities,12
categorical_features,tags,most_common_across_communities,Singleplayer
categorical_features,tags,appears_in_communities,14
categorical_features,supported_languages,most_common_across_communities,English
categorical_features,supported_languages,appears_in_communities,14
categorical_features,controller_support,most_common_across_communities,Full Xbox Controller Support
categorical_features,controller_support,appears_in_communities,13
categorical_features,coming_soon,most_common_across_communities,False
categorical_features,coming_soon,appears_in_communities,14
numerical_features,required_age,average_across_communities,2.07
numerical_features,required_age,min_community_avg,1.49
numerical_features,required_age,max_community_avg,3.24
numerical_features,required_age,std_across_communities,0.42
numerical_features,required_age,communities_with_data,14
numerical_features,metacritic_score,average_across_communities,74.54
numerical_features,metacritic_score,min_community_avg,54.88
numerical_features,metacritic_score,max_community_avg,83.51
numerical_features,metacritic_score,std_across_communities,6.19
numerical_features,metacritic_score,communities_with_data,14
numerical_features,recommendations_total,average_across_communities,276.29
numerical_features,recommendations_total,min_community_avg,180.99
numerical_features,recommendations_total,max_community_avg,522.29
numerical_features,recommendations_total,std_across_communities,75.98
numerical_features,recommendations_total,communities_with_data,14
numerical_features,achievements_total,average_across_communities,33.5
numerical_features,achievements_total,min_community_avg,20.24
numerical_features,achievements_total,max_community_avg,93.07
numerical_features,achievements_total,std_across_communities,19.84
numerical_features,achievements_total,communities_with_data,14
numerical_features,dlc_count,average_across_communities,1.76
numerical_features,dlc_count,min_community_avg,0.29
numerical_features,dlc_count,max_community_avg,18.58
numerical_features,dlc_count,std_across_communities,4.67
numerical_features,dlc_count,communities_with_data,14
numerical_features,discount_percent,average_across_communities,5.07
numerical_features,discount_percent,min_community_avg,0.24
numerical_features,discount_percent,max_community_avg,63.67
numerical_features,discount_percent,std_across_communities,16.25
numerical_features,discount_percent,communities_with_data,14
numerical_features,release_year,average_across_communities,2018.96
numerical_features,release_year,min_community_avg,2012.57
numerical_features,release_year,max_community_avg,2019.96
numerical_features,release_year,std_across_communities,1.82
numerical_features,release_year,communities_with_data,14
boolean_features,is_free,average_true_percentage,15.1
boolean_features,is_free,min_community_percentage,0.3
boolean_features,is_free,max_community_percentage,24.1
boolean_features,is_free,communities_with_data,14
boolean_features,windows,average_true_percentage,97.7
boolean_features,windows,min_community_percentage,95.5
boolean_features,windows,max_community_percentage,100.0
boolean_features,windows,communities_with_data,14
boolean_features,mac,average_true_percentage,31.0
boolean_features,mac,min_community_percentage,9.1
boolean_features,mac,max_community_percentage,60.8
boolean_features,mac,communities_with_data,14
boolean_features,linux,average_true_percentage,21.6
boolean_features,linux,min_community_percentage,4.4
boolean_features,linux,max_community_percentage,56.8
boolean_features,linux,communities_with_data,14
boolean_features,has_dlc,average_true_percentage,23.2
boolean_features,has_dlc,min_community_percentage,15.7
boolean_features,has_dlc,max_community_percentage,56.1
boolean_features,has_dlc,communities_with_data,14
