appid,louvain_community_id,community_size,in_graph
878110,14,5693,True
1074340,14,5693,True
3694360,14,5693,True
1245430,14,5693,True
338040,14,5693,True
355020,14,5693,True
2637070,14,5693,True
3279100,14,5693,True
2520870,14,5693,True
813530,14,5693,True
1582650,14,5693,True
531180,14,5693,True
2512620,14,5693,True
37940,14,5693,True
538100,14,5693,True
665370,14,5693,True
2613060,14,5693,True
6370,14,5693,True
2612700,14,5693,True
1100150,14,5693,True
2412490,14,5693,True
395860,14,5693,True
844850,14,5693,True
529640,14,5693,True
628040,14,5693,True
1016770,14,5693,True
915330,14,5693,True
3169620,14,5693,True
1700270,14,5693,True
2743970,14,5693,True
797400,14,5693,True
1039960,14,5693,True
20530,14,5693,True
2473640,14,5693,True
672150,14,5693,True
1040460,14,5693,True
1649010,14,5693,True
716390,14,5693,True
1089790,14,5693,True
491100,14,5693,True
130,14,5693,True
496450,14,5693,True
1135260,14,5693,True
22700,14,5693,True
655360,14,5693,True
21100,14,5693,True
3572870,14,5693,True
1356670,14,5693,True
225000,14,5693,True
1271280,14,5693,True
