community_id,size,percentage_of_dataset,top_genre,top_genre_percentage,top_publisher,top_publisher_percentage,top_developer,top_developer_percentage,windows_support,mac_support,linux_support
0,74,0.99,Indie,81.08,PTGames,4.05,PTGames,4.05,95.95,27.03,16.22
1,222,2.96,Action,4.5,GameMill Entertainment,0.9,Stormind Games,0.45,100.0,93.69,93.24
2,125,1.66,Action,4.8,Team17,1.6,Protocol Games,0.8,100.0,92.8,92.0
3,88,1.17,Indie,2.27,,,exosyphen studios,1.14,100.0,98.86,98.86
4,85,1.13,Indie,80.0,Octo Games,10.59,Octo Games,10.59,96.47,29.41,24.71
5,71,0.95,Indie,85.92,0 Deer Soft,7.04,0 Deer Soft,7.04,97.18,30.99,22.54
6,269,3.58,Action,57.25,THQ Nordic,4.83,Rebellion,2.23,96.28,27.14,16.73
7,141,1.88,Indie,74.47,Square Enix,7.8,Studio Goya,5.67,97.87,35.46,19.86
8,108,1.44,Indie,79.63,Childish Things Ltd,6.48,Childish Things Ltd,6.48,98.15,32.41,18.52
9,364,4.85,RPG,31.87,LTD.,14.56,LTD.,16.21,99.45,7.14,3.3
10,135,1.8,Indie,66.67,FIVE-BN GAMES,13.33,FIVE-BN GAMES,13.33,100.0,36.3,19.26
11,90,1.2,Indie,84.44,Crisp App Studio,6.67,Crisp App Studio,6.67,96.67,27.78,16.67
12,372,4.95,Indie,45.97,Grey Alien Games,3.76,Suricate Software,2.69,100.0,45.16,40.05
13,79,1.05,Indie,74.68,Games Incubator,11.39,Games Incubator,10.13,94.94,35.44,29.11
14,120,1.6,Indie,78.33,Alawar Casual,28.33,Alawar Casual,11.67,98.33,26.67,20.83
16,91,1.21,Indie,68.13,HeR Interactive,20.88,HeR Interactive,20.88,95.6,24.18,13.19
17,117,1.56,Indie,75.21,DIGIDICED,5.13,DIGIDICED,5.13,96.58,32.48,23.93
18,80,1.07,Indie,60.0,Winged Cloud,15.0,Winged Cloud,15.0,98.75,42.5,32.5
19,110,1.46,Indie,71.82,LLC,7.27,LLC,7.27,96.36,29.09,20.0
20,118,1.57,Indie,68.64,SCS Software,5.08,SCS Software,5.08,100.0,33.05,22.88
21,83,1.11,Indie,73.49,熊窝dodox,6.02,熊窝dodox,6.02,97.59,37.35,27.71
22,174,2.32,Indie,77.59,upjers,2.87,upjers,2.87,97.7,32.18,19.54
23,116,1.54,Indie,67.24,Vertigo Games,5.17,Vertigo Games,5.17,97.41,31.03,20.69
24,168,2.24,Indie,77.38,Game Hollywood Games,4.17,Game Hollywood Games,4.17,99.4,23.81,16.67
25,126,1.68,Indie,88.1,Kagura Games,17.46,Acerola,3.17,96.03,24.6,18.25
26,107,1.42,Indie,85.98,Sokpop Collective,8.41,Sokpop Collective,8.41,96.26,37.38,25.23
27,12,0.16,Adventure,100.0,Frontwing USA,100.0,Frontwing,91.67,100.0,0.0,0.0
28,85,1.13,Indie,81.18,Bloober Team SA,4.71,Bloober Team SA,4.71,98.82,22.35,20.0
29,135,1.8,Indie,70.37,MangaGamer,13.33,07th Expansion,7.41,98.52,31.11,27.41
30,100,1.33,Indie,65.0,Inc.,20.0,Inc.,20.0,97.0,33.0,19.0
31,117,1.56,Indie,86.32,Hosted Games,16.24,Hosted Games,16.24,99.15,40.17,35.04
32,84,1.12,Indie,63.1,Lucasfilm,9.52,LucasArts,9.52,96.43,34.52,20.24
33,247,3.29,Indie,77.73,Daedalic Entertainment,13.77,Daedalic Entertainment,4.86,100.0,42.51,34.01
34,88,1.17,Indie,71.59,GameHouse,14.77,GameHouse,14.77,98.86,32.95,17.05
35,58,0.77,Indie,77.59,Artless Games,8.62,Artless Games,8.62,94.83,39.66,13.79
36,166,2.21,Indie,75.9,Lovely Games,3.01,Lovely Games,3.01,97.59,29.52,18.67
37,122,1.62,Indie,72.13,Qumaron,12.3,Qumaron,11.48,97.54,26.23,17.21
38,100,1.33,Indie,83.0,Dharker Studios,5.0,Dharker Studios,5.0,99.0,32.0,22.0
39,94,1.25,Indie,81.91,Ripknot Systems,5.32,Ripknot Systems,5.32,97.87,27.66,24.47
40,164,2.18,Indie,81.1,Jetdogs Studios,4.27,Jetdogs Studios,4.27,95.73,29.27,17.07
41,93,1.24,Indie,62.37,Quiet River,9.68,Quiet River,9.68,96.77,34.41,26.88
42,92,1.22,Indie,77.17,Sigyaad Team,6.52,Sigyaad Team,6.52,96.74,28.26,13.04
43,193,2.57,Action,55.44,Ubisoft,11.4,Ubisoft Montreal,4.66,97.93,27.98,17.62
44,120,1.6,Indie,75.0,tinyBuild,10.0,WayForward,8.33,96.67,35.83,22.5
45,83,1.11,Indie,79.52,Telltale,4.82,Telltale,4.82,97.59,31.33,22.89
46,84,1.12,Indie,86.9,Home Net Games,8.33,Home Net Games,8.33,96.43,32.14,29.76
47,50,0.67,Indie,74.0,Spiderwork Games,6.0,Spiderwork Games,6.0,100.0,36.0,24.0
48,158,2.1,Indie,75.95,Zachtronics,2.53,Zachtronics,2.53,97.47,31.65,21.52
49,29,0.39,Casual,100.0,Kairosoft Co.,96.55,Kairosoft Co.,96.55,100.0,0.0,0.0
50,113,1.5,Indie,72.57,OTAKU Plan,5.31,Taboo Tales 💘,4.42,95.58,21.24,15.93
51,148,1.97,Indie,87.84,GrabTheGames,4.73,Flat Cat Games,2.7,98.65,35.81,25.68
