appid,community_id,community_size,type,coming_soon,is_free,windows,mac,linux,has_dlc,genres,tags,categories,developers,publishers,supported_languages,required_age,metacritic_score,recommendations_total,achievements_total,dlc_count,discount_percent,initial_price,final_price
COMMUNITY_0,0,1184,game,False,False,False,False,False,False,"Indie,Adventure,Casual,Action,Simulation","Singleplayer,Indie,Adventure,Casual,Action","Indie,Adventure,Casual,Action,Simulation","HeR Interactive,Ltd.,Qumaron,Games Incubator,Ubisoft Montreal","HeR Interactive,Ubisoft,Ltd.,PlayWay S.A.,Qumaron","English,French,German,Simplified Chinese,Spanish - Spain",2.33,83.51,284.64,21.21,0.45,0.55,0.0,0.0
COMMUNITY_1,1,1139,game,False,False,False,False,False,False,"Indie,Adventure,Casual,Action,Strategy","Singleplayer,Indie,Adventure,Casual,Action","Indie,Adventure,Casual,Action,Strategy","Daedalic Entertainment,Frontwing,Frogwares,Jackbox Games,Inc.","Daedalic Entertainment,Artifex Mundi,Grey Alien Games,Frontwing USA,Frogwares","English,German,French,Spanish - Spain,Simplified Chinese",1.49,72.04,180.99,31.91,0.68,63.67,0.0,0.0
COMMUNITY_2,2,668,game,False,False,False,False,False,False,"Indie,Casual,Adventure,Action,Strategy","Indie,Singleplayer,Casual,Adventure,Action","Indie,Casual,Adventure,Action,Strategy","Alawar Casual,Double Fine Productions,07th Expansion,Sigyaad Team,owlyboi","Alawar Casual,MangaGamer,Conglomerate 5,Double Fine Productions,HH-Games","English,German,Russian,French,Simplified Chinese",1.91,75.75,237.24,20.24,0.38,0.44,0.0,0.0
COMMUNITY_3,3,629,game,False,False,False,False,False,False,"Indie,Casual,Adventure,Action,Strategy","Indie,Singleplayer,Casual,Adventure,Action","Indie,Casual,Adventure,Action,Strategy","LLC,GameHouse,FIVE-BN GAMES,Chilla's Art,L. Stotch","LLC,GameHouse,FIVE-BN GAMES,Chilla's Art,L. Stotch","English,Simplified Chinese,German,French,Russian",1.83,75.81,256.37,31.25,0.45,0.59,0.0,0.0
COMMUNITY_4,4,575,game,False,False,False,False,False,False,"Indie,Action,Adventure,Casual,Simulation","Indie,Singleplayer,Action,Adventure,Casual","Indie,Action,Adventure,Casual,Simulation","Octo Games,Euphoric Brothers,Zachtronics,Lesson of Passion,Laush Dmitriy Sergeevich","Octo Games,Euphoric Brothers,Zachtronics,Lesson of Passion,NVLMaker","English,Simplified Chinese,German,French,Spanish - Spain",2.38,74.5,260.58,65.05,0.4,0.4,0.0,0.0
COMMUNITY_5,5,553,game,False,False,False,False,False,False,"Indie,Casual,Action,Adventure,Simulation","Indie,Singleplayer,Casual,Adventure,Action","Indie,Casual,Action,Adventure,Simulation","Inc.,WayForward,100 Cozy Games,Cats,LucasArts","Next Game,Inc.,WayForward,100 Cozy Games,tinyBuild","English,Simplified Chinese,German,Russian,French",1.99,77.55,295.08,22.92,0.5,0.51,0.0,0.0
COMMUNITY_6,6,479,game,False,False,False,False,False,False,"Indie,Casual,Action,Adventure,Simulation","Indie,Singleplayer,Casual,Action,Adventure","Indie,Casual,Action,Adventure,Simulation","LTD.,XDEVS LTD,RewindApp,INTI CREATES CO.,Studio Goya","LTD.,Square Enix,XDEVS LTD,RewindApp,INTI CREATES CO.","English,Simplified Chinese,German,French,Russian",2.29,73.5,249.22,33.38,0.36,0.63,0.0,0.0
COMMUNITY_7,7,455,game,False,False,False,False,False,False,"Indie,Action,Casual,Adventure,Simulation","Indie,Singleplayer,Casual,Action,Adventure","Indie,Action,Casual,Adventure,Simulation","FreeMind S.A.,Jetdogs Studios,Spiderweb Software,Zoom Out Games,10tons Ltd","PlayWay S.A.,FreeMind S.A.,Jetdogs Studios,Spiderweb Software,10tons Ltd","English,Simplified Chinese,German,Russian,French",1.54,76.78,244.99,21.79,0.29,0.84,0.0,0.0
COMMUNITY_8,8,392,game,False,False,False,False,False,False,"Indie,Casual,Adventure,Action,Simulation","Indie,Singleplayer,Casual,Adventure,Action","Indie,Casual,Adventure,Action,Simulation","Sacada,Sokpop Collective,Oleg Sereda,Pilgrim Adventures,Fury Games Production","Sacada,GrabTheGames,Sokpop Collective,Gamirror Games,Oleg Sereda","English,Simplified Chinese,Russian,German,French",1.97,79.93,239.56,93.07,0.57,0.25,0.0,0.0
COMMUNITY_9,9,342,game,False,False,False,False,False,False,"Action,RPG,Strategy,Adventure,Simulation","Singleplayer,Anime,Adventure,Multiplayer,Simulation","Action,RPG,Strategy,Adventure,Simulation","LTD.,KOEI TECMO GAMES CO.,Milestone S.r.l.,Square Enix,Ltd.","LTD.,KOEI TECMO GAMES CO.,Ltd.,Slitherine Ltd.,Milestone S.r.l.","English,Japanese,French,German,Spanish - Spain",1.68,76.97,336.97,28.96,18.58,1.44,0.0,0.0
COMMUNITY_10,10,305,game,False,False,False,False,False,False,"Indie,Adventure,RPG,Casual,Simulation","Indie,Singleplayer,Adventure,Casual,RPG","Indie,Adventure,RPG,Casual,Simulation","Hosted Games,Winged Cloud,Choice of Games,Wolverine Studios,Acerola","Kagura Games,Hosted Games,Winged Cloud,Choice of Games,Wolverine Studios","English,Simplified Chinese,Japanese,German,Russian",1.95,75.86,266.75,20.35,0.3,0.26,0.0,0.0
COMMUNITY_11,11,267,game,False,False,False,False,False,False,"Action,Indie,Adventure,Strategy,RPG","Singleplayer,Action,Adventure,Indie,Multiplayer","Action,Indie,Adventure,Strategy,RPG","Rebellion,Ltd.,Inc.,Gaming Minds Studios,Scott Cawthon","THQ Nordic,Fulqrum Publishing,2K,Ubisoft,Rebellion","English,German,French,Spanish - Spain,Italian",3.24,54.88,522.29,25.22,0.86,0.63,0.0,0.0
COMMUNITY_12,12,177,game,False,False,False,False,False,False,"Indie,Casual,Simulation,Strategy,Action","Indie,Singleplayer,Casual,Simulation,Strategy","Indie,Casual,Simulation,Strategy,Action","Out of the Park Developments,Positech Games,DirectDoggo,Minos Games,Mismatch Studio","PlayWay S.A.,Positech Games,Out of the Park Developments,INDIECN,DirectDoggo","English,Simplified Chinese,French,German,Russian",2.03,71.75,241.83,30.71,0.32,0.6,0.0,0.0
COMMUNITY_13,13,419,game,False,False,False,False,False,False,"Indie,Casual,Adventure,Action,Simulation","Indie,Singleplayer,Casual,Adventure,2D","Indie,Casual,Adventure,Action,Simulation","Humongous Entertainment,qureate,Game Hollywood Games,Notovia,Klei Entertainment","Humongous Entertainment,Nightdive Studios,qureate,Game Hollywood Games,Notovia","English,Simplified Chinese,German,French,Spanish - Spain",2.32,74.79,251.55,22.97,0.44,0.24,0.0,0.0
