appid,community_id,type,developers,publishers,categories,genres,tags,supported_languages,controller_support,coming_soon,required_age,metacritic_score,recommendations_total,achievements_total,dlc_count,discount_percent,release_year,is_free,windows,mac,linux,has_dlc,community_size
OVERALL_AVG,-1,game,LTD.,LTD.,Indie,Indie,Singleplayer,English,Full Xbox Controller Support,False,2.07,74.54,276.29,33.5,1.76,5.07,2018.96,False,True,False,False,False,
COMMUNITY_0,0,game,"HeR Interactive,Ltd.,Qumaron,Games Incubator,Ubisoft Montreal","HeR Interactive,Ubisoft,Ltd.,PlayWay S.A.,Qumaron","Indie,Adventure,Casual,Action,Simulation","Indie,Adventure,Casual,Action,Simulation","Singleplayer,Indie,Adventure,Casual,Action","English,French,German,Simplified Chinese,Spanish - Spain","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Partial Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",False,2.33,83.51,284.64,21.21,0.45,0.55,2018.33,False,False,False,False,False,1184.0
COMMUNITY_1,1,game,"Daedalic Entertainment,Frontwing,Frogwares,Jackbox Games,Inc.","Daedalic Entertainment,Artifex Mundi,Grey Alien Games,Frontwing USA,Frogwares","Indie,Adventure,Casual,Action,Strategy","Indie,Adventure,Casual,Action,Strategy","Singleplayer,Indie,Adventure,Casual,Action","English,German,French,Spanish - Spain,Simplified Chinese","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support,Partial Xbox Controller Support, PS4 Controller Support",False,1.49,72.04,180.99,31.91,0.68,63.67,2019.04,False,False,False,False,False,1139.0
COMMUNITY_2,2,game,"Alawar Casual,Double Fine Productions,07th Expansion,Sigyaad Team,owlyboi","Alawar Casual,MangaGamer,Conglomerate 5,Double Fine Productions,HH-Games","Indie,Casual,Adventure,Action,Strategy","Indie,Casual,Adventure,Action,Strategy","Indie,Singleplayer,Casual,Adventure,Action","English,German,Russian,French,Simplified Chinese","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support,Partial Xbox Controller Support, PS4 Controller Support, PS5 Controller Support",False,1.91,75.75,237.24,20.24,0.38,0.44,2019.21,False,False,False,False,False,668.0
COMMUNITY_3,3,game,"LLC,GameHouse,FIVE-BN GAMES,Chilla's Art,L. Stotch","LLC,GameHouse,FIVE-BN GAMES,Chilla's Art,L. Stotch","Indie,Casual,Adventure,Action,Strategy","Indie,Casual,Adventure,Action,Strategy","Indie,Singleplayer,Casual,Adventure,Action","English,Simplified Chinese,German,French,Russian","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support,Partial Xbox Controller Support, PS4 Controller Support, PS5 Controller Support",False,1.83,75.81,256.37,31.25,0.45,0.59,2019.96,False,False,False,False,False,629.0
COMMUNITY_4,4,game,"Octo Games,Euphoric Brothers,Zachtronics,Lesson of Passion,Laush Dmitriy Sergeevich","Octo Games,Euphoric Brothers,Zachtronics,Lesson of Passion,NVLMaker","Indie,Action,Adventure,Casual,Simulation","Indie,Action,Adventure,Casual,Simulation","Indie,Singleplayer,Action,Adventure,Casual","English,Simplified Chinese,German,French,Spanish - Spain","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Partial Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",False,2.38,74.5,260.58,65.05,0.4,0.4,2019.83,False,False,False,False,False,575.0
COMMUNITY_5,5,game,"Inc.,WayForward,100 Cozy Games,Cats,LucasArts","Next Game,Inc.,WayForward,100 Cozy Games,tinyBuild","Indie,Casual,Action,Adventure,Simulation","Indie,Casual,Action,Adventure,Simulation","Indie,Singleplayer,Casual,Adventure,Action","English,Simplified Chinese,German,Russian,French","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",False,1.99,77.55,295.08,22.92,0.5,0.51,2019.15,False,False,False,False,False,553.0
COMMUNITY_6,6,game,"LTD.,XDEVS LTD,RewindApp,INTI CREATES CO.,Studio Goya","LTD.,Square Enix,XDEVS LTD,RewindApp,INTI CREATES CO.","Indie,Casual,Action,Adventure,Simulation","Indie,Casual,Action,Adventure,Simulation","Indie,Singleplayer,Casual,Action,Adventure","English,Simplified Chinese,German,French,Russian","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support,Partial Xbox Controller Support, PS4 Controller Support, PS5 Controller Support",False,2.29,73.5,249.22,33.38,0.36,0.63,2019.84,False,False,False,False,False,479.0
COMMUNITY_7,7,game,"FreeMind S.A.,Jetdogs Studios,Spiderweb Software,Zoom Out Games,10tons Ltd","PlayWay S.A.,FreeMind S.A.,Jetdogs Studios,Spiderweb Software,10tons Ltd","Indie,Action,Casual,Adventure,Simulation","Indie,Action,Casual,Adventure,Simulation","Indie,Singleplayer,Casual,Action,Adventure","English,Simplified Chinese,German,Russian,French","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, Steam Input API Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",False,1.54,76.78,244.99,21.79,0.29,0.84,2019.53,False,False,False,False,False,455.0
COMMUNITY_8,8,game,"Sacada,Sokpop Collective,Oleg Sereda,Pilgrim Adventures,Fury Games Production","Sacada,GrabTheGames,Sokpop Collective,Gamirror Games,Oleg Sereda","Indie,Casual,Adventure,Action,Simulation","Indie,Casual,Adventure,Action,Simulation","Indie,Singleplayer,Casual,Adventure,Action","English,Simplified Chinese,Russian,German,French","Full Xbox Controller Support,Partial Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Partial Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",False,1.97,79.93,239.56,93.07,0.57,0.25,2019.77,False,False,False,False,False,392.0
COMMUNITY_9,9,game,"LTD.,KOEI TECMO GAMES CO.,Milestone S.r.l.,Square Enix,Ltd.","LTD.,KOEI TECMO GAMES CO.,Ltd.,Slitherine Ltd.,Milestone S.r.l.","Action,RPG,Strategy,Adventure,Simulation","Action,RPG,Strategy,Adventure,Simulation","Singleplayer,Anime,Adventure,Multiplayer,Simulation","English,Japanese,French,German,Spanish - Spain","Partial Xbox Controller Support,Full Xbox Controller Support,Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support,Partial Xbox Controller Support, PS4 Controller Support,Partial Xbox Controller Support, PS4 Controller Support, PS5 Controller Support",False,1.68,76.97,336.97,28.96,18.58,1.44,2019.5,False,False,False,False,False,342.0
