appid,name,overall_similarity,best_community_similarity,best_community
368510,Official Guide - Valiant,0.15551435855266393,0.5977081599236826,10
98610,"Demolition, Inc. Demo",0.19580139266003677,0.5955086349119478,12
1235100,"Rolling Hills: Make Sushi, Make Friends",0.30489820220588976,0.5925509652760621,6
523440,zTime (Danger Noodles!),0.1433470105801885,0.5908051178576389,8
2822370,Chocolate Factory Simulator,0.21678717396804542,0.5877553812998075,0
415950,Yohjo Simulator,0.17668034391352183,0.583926810979332,8
1782330,Green Hell VR,0.25652997311091325,0.5821520731318865,0
822550,2DGameManias Taken,0.20097729884425697,0.5811107118494752,8
700160,Semblance,0.26108620618321643,0.5809245669590649,8
418960,Catorize,0.17668034391352183,0.5807522078047288,8
724580,Domino,0.13223589946907738,0.5799622310599043,12
435090,Akuatica Demo,0.17030812854597832,0.579947477833438,8
1052900,Assault of the Robots,0.17668034391352183,0.5772248709440586,8
562410,Panty Party,0.20426993967956167,0.5763890255868697,8
2605980,孤岛笔记 Demo,0.17668034391352183,0.5739291956395635,10
824000,Hokko Life,0.21889372041287014,0.5726968170713812,10
927250,Bladed Fury,0.3142886728990033,0.5699323683651457,4
606890,Masters of Anima,0.3123726959772633,0.5687559259971116,11
858500,Skelli Tower Defense,0.18312479041982616,0.5643369646508065,3
370550,Sparkle 2,0.1975993840783818,0.5631994468596285,7
342350,Into The Gloom,0.19420908647079457,0.5630377790674236,8
3461920,The Boba Teashop,0.18312479041982616,0.5628818042526583,8
334310,Plebby Quest: The Crusades,0.24956693586792092,0.5618335572457702,8
1282690,Crysis® 3 ,0.25141004601422945,0.5608612297473214,3
1225780,他人世界末,0.19500545599185787,0.5603191586596397,10
215020,Orcs Must Die! 2 Demo,0.24719620931116632,0.5551023106859061,11
1409830,Sons of Valhalla,0.30506833762937907,0.554505621805864,9
391440,XenoBloom,0.1433470105801885,0.5540363051339784,12
19320,Space Ark,0.1591970174348672,0.554021551907512,8
777760,Charlie II,0.18312479041982616,0.5535532368656478,8
795020,Charlie II Demo,0.18312479041982616,0.5535532368656478,8
664800,Alter Ego Demo,0.13223589946907738,0.5530141629598249,10
1660370,Wildlife Match,0.17668034391352183,0.551795987647499,3
910830,Rebel Galaxy Outlaw,0.3177246242447041,0.5515167920528655,9
1173240,Profitania,0.15445812169129963,0.5513908024884757,12
787040,Perfect Heist,0.19087279531401294,0.5503574076371113,3
330950,Pure Chess - Steampunk Game Pack,0.17668034391352183,0.5503326014302746,12
1640630,Heading Out,0.3022721219048355,0.5500305453904183,3
1342890,Who Needs a Hero?,0.20671396324276609,0.549009109152473,10
552380,[R.U.M.A],0.17668034391352183,0.5490061760586971,8
711600,Dragon Orb,0.18458446117990432,0.548499005905736,3
1008610,The Trials of Olympus 2: Wrath of the Gods,0.17668034391352183,0.5482686507868288,3
556870,Charlie's Adventure,0.17062101109411834,0.5471005326464408,1
729000,Wytchwood,0.2611537530688475,0.5469837353375822,10
492180,Haimrik,0.2171383952512112,0.5468521399481694,11
673540,Mogo Invasion,0.1433470105801885,0.546628897726571,12
678520,Gal*Gun VR,0.16428898676573936,0.5465477384757218,6
491100,"Human, we have a problem",0.19087279531401294,0.5428886674553225,8
1130620,Aka Manto | 赤マント,0.19590145628686711,0.5423575355031112,3
1004270,My Island,0.1555214059911376,0.5421526043681272,10
268130,Heat Signature,0.2499981313910743,0.5420102047616772,3
277910,Mars Colony: Challenger,0.1433470105801885,0.5419030518487138,10
275390,Guacamelee! Super Turbo Championship Edition,0.2933257775012282,0.541133614547688,8
2804680,Only Way is Down,0.20102594645485936,0.5403047125814726,8
2559360,Symmodance,0.2128640408516119,0.5396510401683291,3
726830,Vacation Simulator,0.3177246242447041,0.5394458064722734,7
2304180,Gyno Tales - Season 1,0.17696937789718772,0.5385262778815483,10
211400,Deadlight,0.31348315909577656,0.5378317406720554,5
413710,Blood and Gold: Caribbean!,0.20791720082771595,0.5378075912995854,11
1178150,MazM: Jekyll and Hyde,0.21400974848551124,0.5375799954291157,9
801600,夜雪冰娇,0.17668034391352183,0.5373775264118918,11
628960,Journey to Alien Worlds,0.18764849537730985,0.5372888009404574,8
1191580,Nexomon,0.16090256819760396,0.5367037493819171,10
867590,Sakura and Crit: The Mock Game,0.17668034391352183,0.5363077633602843,8
578830,Cavern of Time,0.1619582942935406,0.5347075624422732,10
841190,"Honey, I Joined a Cult",0.3124092060706211,0.5344819709183056,12
545410,A Trip to Yugoslavia: Director's Cut,0.13914508957025892,0.5338172380287837,1
2278630,Livestream 2: Escape from Togaezuka Happy Place,0.20888027997823702,0.5327766686572463,13
416310,Goblin Defenders: Steel‘n’ Wood,0.19420908647079457,0.5327400415777491,2
419480,Starpoint Gemini Warlords,0.28354116734642437,0.5326836952389558,9
1092000,Naked Story,0.19420908647079457,0.5326621849875695,10
2942050,Ports Of Call Deluxe 3D 2024,0.17668034391352183,0.5326192358908222,12
1229420,Company of Crime,0.2188114760135031,0.5322386004335758,11
261940,The Mysterious Cities of Gold - Secret Paths,0.18067641515217794,0.5320772276880584,8
