appid,name,overall_similarity,best_community_similarity,best_community
586380,VITATIO 2,0.175575242946607,0.499277310678923,8
2934190,Aooni,0.21505038127930703,0.4991301611865083,11
1337890,Choice of Life: Middle Ages,0.15254590034656412,0.499112636672268,10
428430,Endorlight,0.18160831162630917,0.49864619869969173,8
1356480,Sokpop S08: helionaut,0.17707209659919895,0.4985505348938417,8
640120,Youropa,0.27459648144039034,0.49852523454916925,8
1075370,Skywalk,0.19253035076820052,0.49846599635195654,8
1283190,Neighbours back From Hell,0.26798031046950543,0.4984554118808577,1
578470,Break Time!,0.16865057309179074,0.498444223010878,8
964440,Hell is Others,0.2787014525282627,0.4983243147018128,8
1097130,Circuit Superstars,0.2726121489043615,0.49830336264852093,0
1058980,Dinosaur Bone Digging,0.17668034391352183,0.4982125252650463,8
218640,Lucius,0.19399851827300407,0.4979545435262997,11
1155340,Rescue Team: Evil Genius,0.1770498507306266,0.49762530182023046,3
1149590,Dreamland Solitaire,0.21802361488225896,0.4970024144010871,12
1933980,Pool Slide Story,0.1856037981456638,0.49675362592444366,12
1018800,DEEEER Simulator: Your Average Everyday Deer Game,0.19376905151903207,0.4962082642127807,8
945590,Cliché - Critical Change,0.17668034391352183,0.49609612314864426,8
2476490,Isekai Rondo,0.2087422720370018,0.49577565632280096,9
1239020,TOGETHER BnB,0.17668034391352183,0.49534220528786715,10
301420,Third Eye Crime,0.16764396551092367,0.4948673256060888,8
2739980,Horny Suika: Wet Watermelon,0.2128640408516119,0.49459066330012563,12
1171320,Frog Detective 3: Corruption at Cowboy County,0.20684614913591298,0.4942525165612094,0
107200,Space Pirates and Zombies,0.29432721144421103,0.4941027752149499,11
1140890,Morbid: The Seven Acolytes,0.21400974848551124,0.49404710905818566,11
398670,Shadow Heroes: Vengeance In Flames,0.1433470105801885,0.4937712962894743,3
352680,HIS - [P-38J] Lightning R.Bong Pack,0.1433470105801885,0.4937712962894743,3
1335240,放置勇者：远征/idle Heroes: Odyssey,0.1806612498092963,0.4937240494333116,10
2441170,MagicShop2,0.21029043014256313,0.49349745166394615,11
516430,Ruin of the Reckless,0.20275140865620842,0.49339415224067557,11
705100,Marshmallow Melee,0.17668034391352183,0.4929330819674473,11
1984020,Everhood 2,0.23977080465657064,0.4928868586568489,8
748830,Yanone: Letter Splatter,0.18924339058631742,0.4928666392500959,8
694160,Guardians of Life VR,0.1860938303753482,0.4928218195119212,8
3132250,Heian City Story,0.20528927664532118,0.4927261754361801,12
455980,Judgment: Apocalypse Survival Simulation,0.28303193310370584,0.49253972676941044,12
1247640,Dwarf Shop,0.21802361488225896,0.4925250614763036,10
1917850,Haunted House Renovator,0.2082061102815587,0.491616440177263,0
1490060,Disillusion,0.20426993967956167,0.49132823039683526,11
612380,Cryptocracy,0.15445812169129963,0.49107334217101534,12
22180,Penumbra: Overture,0.22700590832781425,0.49059093118446856,1
1160020,AshenForest,0.19961579629053322,0.49001813705185165,11
402970,Fringes of the Empire,0.18924339058631742,0.48889838528184193,8
356650,Death's Gambit: Afterlife,0.2684486396420671,0.48876943521653354,8
228400,ACE COMBAT™ ASSAULT HORIZON Enhanced Edition,0.27197993429142525,0.4885688904484902,5
977210,尘沙的选择 THE CHOICE OF SAND,0.17784820270366652,0.48834105475692074,11
674500,Total Tank Simulator,0.19813587402347327,0.4877245507154705,12
1582650,Caravan Sandwitch,0.31492641379827035,0.48755254650733465,1
1277950,Heart's Medicine - Season One,0.18204771745733947,0.48750013669798076,8
280740,Aperture Tag: The Paint Gun Testing Initiative,0.17198686424857237,0.48737640340604793,8
908310,The Call,0.17030812854597832,0.4873548852408454,8
311860,Data Hacker: Initiation,0.19002983513371738,0.48724783833710583,10
353740,HIS - Rare Flight Pack,0.1433470105801885,0.4871050882027614,12
578840,Behind You Demo,0.1433470105801885,0.4871014141539351,8
717640,Reigns: Her Majesty,0.20704161063287788,0.48710016351221214,8
493770,Awakened,0.15445812169129963,0.48634749629315815,10
1996210,Sakura Hime 3,0.18663697259916334,0.4858907404163772,10
2484130,Fruitbus,0.2087591311945552,0.48580533502561873,8
1232570,Paper Beast,0.19961579629053322,0.48564410788919526,8
2844500,My Protogen Engineer,0.18326586708049675,0.4854404588132571,8
568830,Witch of Ice Kingdom II,0.20235689810883412,0.48533060121630894,11
1702180,Goat's Tale,0.17386030673212238,0.4853060021636943,8
2191490,Pocket Academy 3,0.18632744531514442,0.4852618075670125,12
806530,Unending Dusk,0.2035995571639081,0.48514743946542266,11
1120320,Builder Simulator,0.18924339058631742,0.48505546867592,8
1532690,BLACKTAIL,0.28476051978836053,0.4850460106402457,9
1759350,Space Trash Scavenger,0.2184420841953848,0.4847060738100298,8
2650630,Last Hope,0.21802361488225896,0.48468945842290406,8
702670,Donut County,0.2574289568442638,0.4841688563899714,1
2856370,Into the Emberlands,0.20578589759160326,0.48410196561145646,3
2101540,The Parasites Demo,0.17668034391352183,0.4840711111236322,8
3479710,Level Devil Demo,0.17668034391352183,0.4840711111236322,8
690260,Tower Miners,0.21872284085709515,0.48399014483067004,3
257750,Bloody Trapland,0.2082061102815587,0.48394554368270626,13
1366510,炼器师,0.21400974848551124,0.4835539024758518,13
893450,Life After The Living,0.17668034391352183,0.48339771045023144,8
559100,Phantom Doctrine,0.3092195003059428,0.48336022960542907,9
763090,Aqua Fish,0.1480859063237561,0.4830456714731898,3
1053710,The Red Lantern,0.21597844693046986,0.48297899067199934,10
1299690,Gori: Cuddly Carnage,0.2728199285228031,0.48294546448833375,5
1907720,Autonauts vs Piratebots,0.2174705939692625,0.4828449053026017,12
200650,Lightfish Demo,0.20426993967956167,0.4827382319360759,8
398250,Moonstrider,0.16764396551092367,0.4826980134367768,8
2191480,Jumbo Airport Story,0.16664196681548707,0.4824093130948358,12
1031910,The Path To Die,0.17668034391352183,0.48233950939203035,8
685990,Forgotten Land,0.17469273627417242,0.48220625214417967,1
898890,Endling - Extinction is Forever,0.3159928835429814,0.4821763412574686,13
1074340,Viking Sisters,0.15445812169129963,0.4821148438468764,2
