achievements_total,appid,avg_players_median_6m,categories,coming_soon,community_id,community_size,controller_support,crawl_status,crawl_timestamp,developers,discount_percent,dlc_count,final_price,first_month_in_window,genres,has_dlc,initial_price,is_free,is_synthetic_community,label_dead,label_dead_binary,last_month,linux,mac,metacritic_score,min_months_ok,min_months_required,months_used,name,pc_min_requirements,publishers,recommendations_total,release_date,required_age,supported_languages,tags,type,windows
,878110,0.075,,,,,,failed,2025-08-24T06:01:31.710297,,,,,2019-06-01,,,,,False,Dead,1,2023-08-01,,,,True,3,6,Fuel Renegades,,,,,,,,,
0.0,1074340,1.485,"Adventure, Casual, Indie",False,,,,success,2025-08-24T19:54:49.248993,Alawar Casual,0.0,0.0,₪25.95,2022-12-01,"Adventure, Casual, Indie",False,₪25.95,False,False,Dead,1,2025-04-01,False,True,,True,3,6,Viking Sisters,"Minimum:OS *:Windows XP or laterProcessor:1.5 GHzMemory:512 MB RAMGraphics:512 MB 3D video cardDirectX:Version 9.0Storage:500 MB available spaceRecommended:OS *:Windows 7 or laterProcessor:3 GHZ processor or betterMemory:1 GB RAMGraphics:1024 MB 3D video cardDirectX:Version 9.0Storage:500 MB available space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Alawar Casual,18.0,"27 Feb, 2019",0.0,"English, German, Korean, Russian, French, Italian, Spanish - Spain, Dutch, Portuguese - Portugal","Casual, Indie, Adventure, Time Management, Singleplayer, Addictive, Strategy",game,True
28.0,3694360,13.57,"Adventure, Casual, Indie, Simulation",False,,,"Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support",success,2025-08-27T11:11:33.159389,Breakfirst Games,0.0,0.0,$12.99,2025-05-01,"Adventure, Casual, Indie, Simulation",False,$12.99,False,False,Dead,1,2025-07-01,False,False,,True,3,3,How 2 Escape: Lost Submarine Demo + Companion App,Minimum:OS:Windows 10Processor:i3-5500 or moreMemory:4 GB RAMGraphics:GTX 660 or moreStorage:2 GB available spaceRecommended:OS:Windows 10Processor:i5-4440 or moreMemory:4 GB RAMGraphics:GTX 1650,"Maximum Entertainment, Breakfirst Games",18.0,"Jun 24, 2025",0.0,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Portuguese - Portugal","Puzzle, Co-op Campaign, Casual, Board Game, Team-Based, Hidden Object, Simulation, Narration, Multiplayer, Hand-drawn, Adventure, War, Logic, Escape Room, Stylized, Mystery, Controller, Local Co-Op, Co-op, Online Co-Op",game,True
71.0,1245430,12.85,"Action, Adventure, Indie",False,,,Partial Xbox Controller Support,success,2025-08-25T08:22:57.087561,Mr. Pink,0.0,2.0,₪73.95,2025-02-01,"Action, Adventure, Indie",True,₪73.95,False,False,Dead,1,2025-07-01,False,False,,True,3,6,Golden Light,"Minimum:OS *:Windows 7Processor:Intel(R) Core(TM) i-5-4000+Memory:4 GB RAMGraphics:nVidia GeForce 1GbDirectX:Version 10Storage:2 GB available spaceRecommended:OS:Windows 10Processor:Intel(R) Core(TM) i-5-4000+Memory:8 GB RAMGraphics:nVidia GeForce 2GbDirectX:Version 10Storage:2 GB available space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Mr. Pink,1910.0,"11 Mar, 2022",0.0,"English, Russian, German, Spanish - Spain, French, Italian, Portuguese - Brazil, Korean, Simplified Chinese, Japanese","3D, Action, Singleplayer, Stealth, Adventure, Procedural Generation, Old School, Horror, Shooter, FPS, First-Person, Psychedelic, Surreal, Roguelike, Stylized, Retro, Indie, PvP, Psychological Horror, Roguelite",game,True
21.0,338040,0.015,"Indie, Racing",False,,,Full Xbox Controller Support,success,2025-08-25T09:31:17.123438,Strangely Named,0.0,0.0,₪43.95,2019-03-01,"Indie, Racing",False,₪43.95,False,False,Dead,1,2019-08-01,False,False,,True,3,6,Bears Can't Drift!?,"Minimum:Requires a 64-bit processor and operating systemOS *:Win 7 (64-bit)Processor:Core i-5 2.66GHzMemory:4 GB RAMGraphics:GeForce GTX 460DirectX:Version 11Storage:2 GB available spaceSound Card:Integrated or Dedicated DirectX 11 compatibleAdditional Notes:xbox controller wired/wirelessRecommended:Requires a 64-bit processor and operating systemOS *:Windows 7 / Windows 8 / Windows 8.1 (64-bit)Processor:Core i-5 3.4GHzMemory:8 GB RAMGraphics:GeForce GTX 660 or higherDirectX:Version 11Storage:2 GB available spaceSound Card:Integrated or Dedicated DirectX 11 compatibleAdditional Notes:xbox controller wired/wireless*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Strangely Named,46.0,"8 Aug, 2016",0.0,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Racing, Indie, 4 Player Local, Local Multiplayer, Driving, Early Access, Family Friendly, Funny",game,True
8.0,355020,9.71,"Action, Adventure, Casual, Strategy",False,,,,success,2025-08-25T10:44:59.558562,Finalboss game studio,0.0,0.0,₪3.50,2024-01-01,"Action, Adventure, Casual, Strategy",False,₪3.50,False,False,Dead,1,2025-05-01,False,False,,True,3,6,Bomb The Monsters!,"Minimum:OS *:Windows XP, Windows Vista, Windows 7, Windows 8Processor:1GhzMemory:1 GB RAMGraphics:nVidia Geforce 8500DirectX:Version 9.0cStorage:100 MB available spaceRecommended:OS *:Windows XP, Windows Vista, Windows 7, Windows 8Processor:2 GhzMemory:2 GB RAMGraphics:nVidia Geforce 8500DirectX:Version 9.0cStorage:100 MB available space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Conglomerate 5,202.0,"6 Nov, 2015",0.0,"English, French, Italian, German, Spanish - Spain, Arabic, Russian","Casual, Adventure, Action, Strategy, Puzzle, Arcade, Side Scroller, Puzzle Platformer, Clicker, Precision Platformer, 2D, Cute, Cartoony, Colorful, Family Friendly, Building, Tactical, Physics, Singleplayer",game,True
20.0,2637070,12.945,Action,False,,,,success,2025-08-25T03:50:36.917062,eTIRUe,0.0,0.0,₪18.50,2025-02-01,Action,False,₪18.50,False,False,Dead,1,2025-07-01,False,False,,True,3,6,Crawling Lab,"Minimum:Requires a 64-bit processor and operating systemOS:All newer version of Windows 10 (newer than version 1909.1350) and Windows 11 with support for DirectX 12 Agility SDK are supported.Processor:Quad-core Intel or AMD, 2.5 GHz or fasterMemory:8 GB RAMGraphics:DirectX 12 (with Shader Model 6.6 atomics), or Vulkan (VK_KHR_shader_atomic_int64)DirectX:Version 12Storage:4 GB available spaceRecommended:Requires a 64-bit processor and operating system",eTIRUe,12.0,"16 Jun, 2024",0.0,"English, Korean, Japanese, Simplified Chinese","Sexual Content, FPS, Action Roguelike, Shooter, Roguelite, PvE, 3D, First-Person, Roguelike, Nudity, Action, Mature, Robots, Physics, NSFW, Singleplayer, Combat, Science, Realistic, Hentai",game,True
0.0,3279100,5.49,"Casual, Free To Play",False,,,,success,2025-08-27T07:50:54.964811,Finndustries,0.0,0.0,,2025-03-01,"Casual, Free To Play",False,,False,False,Dead,1,2025-06-01,False,False,,True,3,4,BYTEWORLD Demo,Minimum:OS:Windows 10Processor:Intel Core i3 2GHzMemory:1 GB RAMGraphics:Intel HD 520Network:Broadband Internet connectionRecommended:OS:Windows 11Processor:Intel Core i5-4440 3.1GHzMemory:4 GB RAMGraphics:Nvidia GeForce GTX650Network:Broadband Internet connection,Finndustries,0.0,"Feb 22, 2026",0.0,English,"Multiplayer, VR, Minigames, Funny, Sandbox, Casual, 3D, Free to Play, Family Friendly, Online Co-Op",game,True
0.0,2520870,16.0,"Casual, Indie, Massively Multiplayer, Free To Play",False,,,,success,2025-08-23T22:42:46.805298,DuoDuoDog,0.0,0.0,Free To Play,2023-10-01,"Casual, Indie, Massively Multiplayer, Free To Play",False,Free To Play,True,False,Dead,1,2025-07-01,False,False,,True,3,6,Love In The Dark,Minimum:OS:Windows 10 (x64)Processor:Intel Core i3-4160Memory:8 GB RAMGraphics:Nvidia Geforce GTX 960Storage:8 GB available spaceRecommended:OS:Windows 10 (x64)Processor:Intel Core i7-7700Memory:16 GB RAMGraphics:Nvidia Geforce GTX 1060Network:Broadband Internet connectionStorage:8 GB available space,DuoDuoDog,23.0,"28 Sep, 2023",0.0,"English, Simplified Chinese, Traditional Chinese","Female Protagonist, Casual, Massively Multiplayer, Puzzle, Horror, Action, Thriller, Psychological Horror, First-Person, Mystery, Demons, Vampire, Noir, Atmospheric, Emotional, Dark, 3D, FPS, Idler, Dungeon Crawler",game,True
0.0,813530,3.365,Simulation,False,,,Partial Xbox Controller Support,success,2025-08-24T01:56:26.979953,John Holmvall,0.0,1.0,₪36.95,2025-02-01,Simulation,True,₪36.95,False,False,Dead,1,2025-07-01,False,True,,True,3,6,FPV Freerider Recharged,"Minimum:OS *:Windows 7Processor:Intel Core2 Duo 2Ghz or Higher/ AMD 2Ghz or HigherMemory:2 GB RAMGraphics:Geforce GTX 960M / Radeon HD 7750 or higher, 1GB video card memoryDirectX:Version 9.0Storage:2 GB available spaceAdditional Notes:A game controller/RC radio is highly recommended. Integrated Intel HD graphics cards not recommended.*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Jord&Eld,195.0,"14 Apr, 2016",0.0,English,"Simulation, Racing",game,True
26.0,1582650,18.845,"Adventure, Casual, Indie",False,,,"Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support",success,2025-08-24T13:25:37.365396,Studio Plane Toast,14.0,2.0,₪92.00,2025-02-01,"Adventure, Casual, Indie",True,₪233.05,False,False,Dead,1,2025-07-01,False,False,75.0,True,3,6,Caravan Sandwitch,Minimum:OS:Windows 10/11Processor:AMD Ryzen 3 3100 / Intel Core i3-8100Memory:8 GB RAMGraphics:GeForce GTX 1050 Ti / Radeon RX 570DirectX:Version 11Storage:5 GB available spaceRecommended:OS:Windows 10/11Processor:AMD Ryzen 7 1700X / Intel Core i5-8600KMemory:16 GB RAMGraphics:GeForce GTX 3050 / Radeon RX 5600XTDirectX:Version 11Storage:5 GB available space,Dear Villagers,61.0,"12 Sep, 2024",0.0,"English, French, German, Spanish - Spain, Simplified Chinese, Japanese, Portuguese - Brazil, Korean","Exploration, Adventure, Singleplayer, Interactive Fiction, Driving, Mystery, Post-apocalyptic, Colorful, Third Person, 3D Platformer, Cute, Casual, Stylized, Robots, Action-Adventure, Metroidvania, 1980s, Futuristic, 3D, Retro",game,True
42.0,531180,0.91,"Action, Indie",False,,,Full Xbox Controller Support,success,2025-08-25T23:00:29.403842,Blindflug Studios AG,0.0,2.0,₪55.95,2020-10-01,"Action, Indie",True,₪55.95,False,False,Dead,1,2023-03-01,False,True,62.0,True,3,6,AIRHEART,"Minimum:OS *:Windows 10,8,7 (64 bit)Processor:Intel Core I5 2,3 GHzMemory:4 GB RAMGraphics:nVidia® Geforce GT 650MDirectX:Version 11Storage:2 GB available spaceRecommended:OS *:Windows 10,8,7 (64 bit)Processor:Intel Core I7, 2,2 GHzMemory:4 GB RAMGraphics:nVidia® Geforce GT 750MDirectX:Version 11Storage:2 GB available space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Blindflug Studios AG,125.0,"24 Jul, 2018",0.0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese","Action, Indie, Action Roguelike, Female Protagonist, Roguelite, Colorful, Twin Stick Shooter, Shoot 'Em Up, Steampunk, Top-Down Shooter, Flight, Shooter, Early Access, Great Soundtrack, Controller, Cartoony, Perma Death, Roguelike, Fishing, Top-Down",game,True
0.0,2512620,3.93,"Adventure, Massively Multiplayer, RPG, Free To Play",False,,,,success,2025-08-23T22:10:45.148629,Aram Audio LLC,0.0,0.0,Free To Play,2024-09-01,"Adventure, Massively Multiplayer, RPG, Free To Play",False,Free To Play,True,False,Dead,1,2025-07-01,False,True,,True,3,6,Pow Vista,"Minimum:Requires a 64-bit processor and operating systemOS *:Windows 7 SP1 or higherProcessor:Intel i3+/AMD @ 2.4+ GHzMemory:4 GB RAMGraphics:GeForce 400x, Intel HD 4x, AMD Radeon 7xxx +Network:Broadband Internet connectionStorage:200 MB available spaceAdditional Notes:Internet connection required to play, offers in-game purchases.Recommended:Requires a 64-bit processor and operating systemOS:Windows 10 or higherProcessor:Intel i3+/AMD @ 2.4+ GHzMemory:4 GB RAMGraphics:GeForce 400x, Intel HD 4x, AMD Radeon 7xxx +Network:Broadband Internet connectionStorage:200 MB available spaceAdditional Notes:Internet connection required to play, offers in-game purchases.*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Aram Audio LLC,63.0,"6 Jun, 2024",0.0,English,"Adventure, Massively Multiplayer, MMORPG, Old School, Colorful, Choose Your Own Adventure, RPG, 3D, Retro, Stylized, Exploration, Combat, Free to Play, Open World, PvE, PvP",game,True
0.0,37940,0.035,,False,,,,success,2025-08-24T22:29:12.325437,,95.0,0.0,₪12.45,2019-05-01,,False,₪249.00,False,False,Dead,1,2020-05-01,True,True,,True,3,6,Family Feud 3: Dream Home,,,0.0,,0.0,,,game,True
26.0,538100,7.915,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation",False,,,Full Xbox Controller Support,success,2025-08-25T23:39:36.462408,Owlet,0.0,0.0,₪47.95,2025-02-01,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation",False,₪47.95,False,False,Dead,1,2025-07-01,False,False,,True,3,6,Feel The Snow,"Minimum:OS *:Windows 7 / Windows 8.1 / Windows 10Processor:2 GhzMemory:2048 MB RAMGraphics:512 mb video memoryDirectX:Version 9.0Storage:512 MB available space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Owlet,16.0,"13 Dec, 2019",0.0,"English, Russian, French, Italian, German, Spanish - Spain, Simplified Chinese","Open World Survival Craft, Multiplayer, Survival, Pixel Graphics, Adventure, Crafting, RPG, Co-op, Indie, Sandbox, Open World, Singleplayer, Action, Cute, Simulation, 2D, Isometric, Online Co-Op, Early Access, Exploration",game,True
9.0,665370,8.3,"Casual, Indie, Simulation",False,,,,success,2025-08-26T08:55:11.407329,Rava Games,0.0,0.0,₪33.29,2025-02-01,"Casual, Indie, Simulation",False,₪33.29,False,False,Dead,1,2025-07-01,False,False,,True,3,6,Mutilate-a-Doll 2,"Minimum:OS *:Windows 7Processor:2GHzMemory:1 GB RAMGraphics:YesStorage:40 MB available spaceAdditional Notes:MaD2 is a software accelerated game. Hardware will help, but only up until a point.Recommended:Graphics:Dedicated GPU*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Rava Games,1599.0,"1 Mar, 2019",0.0,English,"Sandbox, Gore, Physics, Simulation, Blood, Indie, Casual, Violent, 2D, Singleplayer, Building, Relaxing, Shooter, Replay Value, Funny, Moddable",game,True
23.0,2613060,10.59,"Indie, Simulation",False,,,"Partial Xbox Controller Support, PS4 Controller Support",success,2025-08-25T02:07:32.195546,Darius Bode,0.0,3.0,₪55.95,2025-02-01,"Indie, Simulation",True,₪55.95,False,False,Dead,1,2025-07-01,False,False,,True,3,6,My Recycling Center,"Minimum:Requires a 64-bit processor and operating systemOS *:Windows 7 or newerProcessor:multi-core CPU Intel Core i7-920 2,66 GHz or similar AMDMemory:8 GB RAMGraphics:NVIDIA GTX 970 or AMD RX 580, 4 GB VRAMStorage:7 GB available spaceRecommended:Requires a 64-bit processor and operating system*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Darius Bode,555.0,"1 Feb, 2024",0.0,"English, German","Simulation, Life Sim, Realistic, Casual, Education, Physics, Transportation, Immersive Sim, Management, Automobile Sim, Economy, Building, Farming Sim, 3D, First-Person, Relaxing, Family Friendly, Controller, Nonlinear, Singleplayer",game,True
0.0,6370,2.085,"Action, Free To Play, Massively Multiplayer",False,,,,success,2025-08-24T20:53:18.316169,Stunlock Studios,0.0,0.0,Free to Play,2024-11-01,"Action, Free To Play, Massively Multiplayer",False,Free to Play,False,False,Dead,1,2025-07-01,False,False,79.0,True,3,6,Bloodline Champions,"Operating system:Windows® XP Service Pack 3, Vista, or 7Processor:Intel® Pentium® IV 3.0 GHz (or AMD equivalent)Memory:1GB RAM on Windows XP, 2GB of RAM on Windows Vista/7Hard disk space:1GB Hard disk spaceVideo:nVidia or AMD/ATI video card with 128MB RAM and Shader Model 3 support (GeForce 6000 series or ATI HD2000 series)Sound:DirectX-compatible sound cardDirectX®:DirectX® 9.0cInternet:High Speed Internet (DSL or better) required*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Stunlock Studios,1706.0,"13 Jan, 2011",0.0,"English, French, German, Spanish - Spain","Free to Play, Action, MOBA, Multiplayer, PvP, Massively Multiplayer, Fast-Paced, RPG, Competitive",game,True
26.0,2612700,11.785,"Indie, Simulation",False,,,,success,2025-08-25T02:06:06.546022,U0U Games,0.0,1.0,₪51.95,2025-02-01,"Indie, Simulation",True,₪51.95,False,False,Dead,1,2025-07-01,False,False,,True,3,6,S4U: CITYPUNK 2011 AND LOVE PUNCH,Minimum:Requires a 64-bit processor and operating systemOS:Windows 10Processor:Core i5-10600KMemory:8 GB RAMGraphics:GTX1050DirectX:Version 11Storage:2 GB available spaceRecommended:Requires a 64-bit processor and operating system,GCORES PUBLISHING,65.0,"8 Jan, 2025",0.0,"English, Simplified Chinese, Japanese, Traditional Chinese","Visual Novel, Immersive Sim, Typing, Memes, Story Rich, Retro, Pixel Graphics, Simulation, Drama, Choices Matter, Multiple Endings, Indie, Life Sim, Interactive Fiction, Casual, 2D, Adventure, Singleplayer, Word Game, Sci-fi",game,True
0.0,1100150,12.06,"Action, Indie",False,,,,success,2025-08-24T21:52:22.699421,上海アリス幻樂団,0.0,0.0,₪55.95,2025-02-01,"Action, Indie",False,₪55.95,False,False,Dead,1,2025-07-01,False,False,,True,3,6,東方地霊殿 〜 Subterranean Animism.,"Minimum:OS *:Windows 7/8/10Processor:Core 2 Duo or fasterMemory:1024 MB RAMGraphics:Shader Model 2.0 compatibleDirectX:Version 9.0cStorage:400 MB available spaceSound Card:DirectSound compatibleRecommended:Memory:2048 MB RAMAdditional Notes:Controller recommended*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.","Mediascape Co., Ltd.",25.0,"16 Aug, 2008",0.0,Japanese,"Indie, Action, Bullet Hell, Great Soundtrack, Shoot 'Em Up, Female Protagonist, Difficult, Singleplayer, Faith, 2D, Anime, Cute, Psychological Horror, Fantasy",game,True
