appid,best_community_idx,best_community_id,similarity
503810,32,32,0.8218212127685547
366610,2,2,0.8121971487998962
523440,2,2,0.7935627698898315
370550,2,2,0.792273223400116
435090,2,2,0.792120635509491
418960,2,2,0.7778735756874084
21030,32,32,0.7689294815063477
108110,32,32,0.7684733271598816
1052900,2,2,0.7680644989013672
867590,27,27,0.7667460441589355
353190,32,32,0.7652077674865723
491100,2,2,0.7642319798469543
277890,32,32,0.7594326734542847
552380,2,2,0.7585129141807556
435050,7,7,0.7549189925193787
1093280,2,2,0.7533832788467407
951640,2,2,0.7522098422050476
765770,2,2,0.7411910891532898
795020,2,2,0.7401852011680603
586380,2,2,0.7350146770477295
728830,2,2,0.7333107590675354
2605980,36,36,0.7330322265625
580560,2,2,0.7328749895095825
272990,2,2,0.7266975045204163
858500,7,7,0.7262462973594666
533890,2,2,0.7221857905387878
560570,2,2,0.7217957377433777
767870,2,2,0.7149380445480347
3461920,2,2,0.7148881554603577
694160,2,2,0.7124135494232178
1418020,2,2,0.7115259170532227
628960,2,2,0.7087917327880859
685990,2,2,0.7084391713142395
1160790,23,23,0.7077421545982361
420840,2,2,0.7052521705627441
1155790,2,2,0.7034217119216919
417840,2,2,0.7011634707450867
673540,21,21,0.697937548160553
884080,2,2,0.6972091197967529
674550,27,27,0.6963456869125366
277910,36,36,0.690479040145874
1031910,2,2,0.6901180148124695
258180,34,34,0.6900200247764587
997270,21,21,0.6891303658485413
1103400,2,2,0.6864820122718811
686110,2,2,0.6862897276878357
740500,2,2,0.6852839589118958
680430,23,23,0.683878481388092
988340,2,2,0.6838061809539795
1292540,9,9,0.6832871437072754
858840,2,2,0.6821048855781555
549760,7,7,0.6808598637580872
562410,2,2,0.6805092692375183
806770,2,2,0.6804342269897461
428430,2,2,0.6798998713493347
1008610,7,7,0.6785053610801697
422250,2,2,0.6782287359237671
977210,27,27,0.6779998540878296
1008710,36,36,0.677951455116272
3323000,2,2,0.6778427958488464
1366510,2,2,0.6771731376647949
525210,27,27,0.6743528246879578
1433940,2,2,0.6727327108383179
1060810,27,27,0.6718962788581848
732370,27,27,0.6708205938339233
3300850,27,27,0.6687720417976379
325260,2,2,0.6666200757026672
701750,27,27,0.6656280755996704
209230,23,23,0.6645968556404114
391440,11,11,0.6632716059684753
894730,2,2,0.6629542708396912
578830,23,23,0.6625707745552063
334310,2,2,0.6621357798576355
264200,2,2,0.6618819832801819
2961530,2,2,0.661778450012207
1175190,23,23,0.6614311933517456
936010,2,2,0.6612499952316284
1206930,2,2,0.6595306396484375
887760,2,2,0.6587164402008057
258470,2,2,0.6586149334907532
