community_id,size,top_genre,top_genre_percentage,final_price_mean,final_price_median,final_price_min,final_price_max,final_price_coverage,initial_price_mean,initial_price_median,initial_price_min,initial_price_max,initial_price_coverage
0,127,Indie,72.44,22.06,12.49,0.0,92.95,94.49,22.06,12.49,0.0,92.95,94.49
1,921,Indie,36.81,30.51,12.45,0.0,224.95,99.67,86.55,55.95,3.5,312.56,100.0
2,209,Action,54.07,47.43,36.95,0.0,252.6,94.74,48.88,36.95,0.0,252.6,94.74
3,373,Indie,75.34,22.03,18.5,0.0,92.95,91.15,28.54,18.5,0.0,468.98,91.15
4,455,Indie,78.68,30.66,21.95,0.0,159.0,95.38,33.31,21.95,0.0,299.43,95.38
5,136,Indie,83.09,27.88,21.95,0.0,92.95,91.18,34.47,22.47,0.0,249.56,91.18
6,454,Indie,73.79,30.35,19.99,0.0,131.95,91.85,31.15,21.95,0.0,131.95,91.85
7,249,Indie,82.73,28.23,19.99,0.0,110.95,94.78,32.29,19.99,0.0,258.09,94.78
8,502,Indie,77.69,27.56,18.5,0.0,159.95,93.03,31.94,18.5,0.0,295.6,93.03
9,548,Indie,76.46,26.96,18.5,0.0,169.95,92.52,31.54,18.5,0.0,297.68,92.52
10,371,Indie,73.58,21.18,15.99,0.0,110.95,92.72,21.83,17.99,0.0,110.95,92.72
11,131,Indie,84.73,20.47,14.5,0.0,92.95,91.6,22.99,14.5,0.0,132.6,91.6
12,311,Indie,85.21,23.39,14.99,0.0,149.95,93.57,24.82,15.99,0.0,214.55,93.57
13,966,Indie,73.19,30.43,21.95,0.0,131.95,93.27,31.12,21.95,0.0,131.95,93.27
14,278,RPG,26.62,178.75,169.95,0.0,749.95,100.0,174.84,159.95,0.0,749.95,100.0
15,82,Indie,78.05,28.87,25.95,0.0,110.95,92.68,32.81,25.95,0.0,166.37,92.68
