community_id,size,top_genre,top_genre_percentage,top_publisher,top_publisher_percentage,metacritic_mean,metacritic_coverage,windows_support_percentage,mac_support_percentage,linux_support_percentage
0,127,Indie,72.44,Game Hollywood Games,4.72,74.0,4.7,99.21,28.35,15.75
1,921,Indie,36.81,Daedalic Entertainment,4.34,72.4,10.2,100.0,60.91,56.89
2,209,Action,54.07,THQ Nordic,5.74,54.0,100.0,95.69,27.75,17.22
3,373,Indie,75.34,PlayWay S.A.,2.14,77.1,1.9,96.51,30.29,19.84
4,455,Indie,78.68,Octo Games,1.98,74.2,4.4,98.46,28.13,23.3
5,136,Indie,83.09,PlayWay S.A.,4.41,72.3,2.2,96.32,29.41,15.44
6,454,Indie,73.79,WayForward,1.76,77.2,6.2,97.14,31.06,20.7
7,249,Indie,82.73,Kagura Games,8.43,75.5,2.4,97.19,32.53,27.71
8,502,Indie,77.69,GameHouse,2.39,75.6,2.8,98.01,31.47,19.52
9,548,Indie,76.46,Alawar Casual,5.47,75.8,4.4,97.81,29.01,19.53
10,371,Indie,73.58,LTD.,2.7,73.5,1.6,97.84,35.58,21.02
11,131,Indie,84.73,Notovia,3.82,76.5,1.5,98.47,26.72,22.14
12,311,Indie,85.21,Sokpop Collective,2.25,79.7,3.5,97.43,29.9,18.65
13,966,Indie,73.19,Ubisoft,1.45,83.6,19.7,97.62,30.75,20.08
14,278,RPG,26.62,LTD.,16.19,77.0,13.3,99.64,8.99,3.96
15,82,Indie,78.05,Humongous Entertainment,18.29,75.2,6.1,98.78,50.0,35.37
