community_id,size,achievements_total_mean,achievements_total_median,avg_players_median_6m_mean,avg_players_median_6m_median,categories_value,categories_percentage,coming_soon_value,coming_soon_percentage,controller_support_value,controller_support_percentage,crawl_status_value,crawl_status_percentage,developers_value,developers_percentage,discount_percent_mean,discount_percent_median,dlc_count_mean,dlc_count_median,genres_value,genres_percentage,has_dlc_value,has_dlc_percentage,is_free_value,is_free_percentage,label_dead_value,label_dead_percentage,label_dead_binary_mean,label_dead_binary_median,linux_value,linux_percentage,mac_value,mac_percentage,metacritic_score_mean,metacritic_score_median,min_months_ok_value,min_months_ok_percentage,min_months_required_mean,min_months_required_median,months_used_mean,months_used_median,publishers_value,publishers_percentage,recommendations_total_mean,recommendations_total_median,required_age_mean,required_age_median,supported_languages_value,supported_languages_percentage,tags_value,tags_percentage,type_value,type_percentage,windows_value,windows_percentage
0,127,22.362,11.0,8.96,3.83,Indie,72.44,False,96.06,Full Xbox Controller Support,22.05,success,100.0,Game Hollywood Games,4.72,0.0,0.0,0.323,0.0,Indie,72.44,False,84.25,False,67.72,Dead,100.0,1.0,1.0,False,84.25,False,71.65,74.0,74.0,True,100.0,3.0,3.0,5.669,6.0,Game Hollywood Games,4.72,231.165,66.0,2.409,0.0,English,93.7,Indie,55.12,game,100.0,True,99.21
1,921,34.498,0.0,6.89,2.52,Indie,36.81,False,99.02,Full Xbox Controller Support,16.07,success,100.0,Daedalic Entertainment,1.52,63.616,66.0,0.565,0.0,Indie,36.81,False,76.87,False,99.24,Dead,100.0,1.0,1.0,True,56.89,True,60.91,72.383,73.0,True,100.0,3.0,3.0,5.647,6.0,Daedalic Entertainment,4.34,173.567,14.0,1.583,0.0,English,55.05,Singleplayer,42.24,game,100.0,True,100.0
2,209,24.895,24.0,7.572,3.25,Action,54.07,False,98.56,Full Xbox Controller Support,31.1,success,100.0,Rebellion,2.87,0.804,0.0,0.799,0.0,Action,54.07,False,66.51,False,98.09,Dead,100.0,1.0,1.0,False,82.78,False,72.25,54.019,59.0,True,100.0,3.0,3.0,5.981,6.0,THQ Nordic,5.74,546.493,185.0,3.359,0.0,English,99.52,Singleplayer,74.16,game,100.0,True,95.69
3,373,21.617,12.0,6.067,2.8,Indie,75.34,False,96.25,Full Xbox Controller Support,20.38,success,100.0,Spiderweb Software,1.88,0.839,0.0,0.273,0.0,Indie,75.34,False,83.91,False,77.21,Dead,100.0,1.0,1.0,False,80.16,False,69.71,77.143,75.0,True,100.0,3.0,3.0,5.686,6.0,PlayWay S.A.,2.14,249.633,63.0,1.592,0.0,English,96.78,Indie,64.61,game,100.0,True,96.51
4,455,65.609,14.0,6.413,2.495,Indie,78.68,False,96.26,Full Xbox Controller Support,23.52,success,100.0,Octo Games,1.98,0.343,0.0,0.409,0.0,Indie,78.68,False,79.12,False,84.18,Dead,100.0,1.0,1.0,False,76.7,False,71.87,74.25,74.5,True,100.0,3.0,3.0,5.657,6.0,Octo Games,1.98,264.363,65.0,2.492,0.0,English,95.82,Indie,61.76,game,100.0,True,98.46
5,136,30.662,12.0,6.824,2.473,Indie,83.09,False,99.26,Full Xbox Controller Support,16.91,success,100.0,Out of the Park Developments,2.21,0.632,0.0,0.287,0.0,Indie,83.09,False,82.35,False,79.41,Dead,100.0,1.0,1.0,False,84.56,False,70.59,72.333,72.0,True,100.0,3.0,3.0,5.588,6.0,PlayWay S.A.,4.41,182.691,68.5,1.721,0.0,English,95.59,Indie,63.97,game,100.0,True,96.32
6,454,23.833,13.0,6.412,2.827,Indie,73.79,False,96.26,Full Xbox Controller Support,21.59,success,100.0,WayForward,1.76,0.533,0.0,0.542,0.0,Indie,73.79,False,75.11,False,83.48,Dead,100.0,1.0,1.0,False,79.3,False,68.94,77.214,76.5,True,100.0,3.0,3.0,5.707,6.0,WayForward,1.76,321.648,76.5,1.943,0.0,English,96.48,Indie,61.23,game,99.56,True,97.14
7,249,20.378,13.0,5.199,2.19,Indie,82.73,False,93.57,Partial Xbox Controller Support,15.26,success,100.0,Hosted Games,6.02,0.277,0.0,0.277,0.0,Indie,82.73,False,83.13,False,82.73,Dead,100.0,1.0,1.0,False,72.29,False,67.47,75.5,74.5,True,100.0,3.0,3.0,5.679,6.0,Kagura Games,8.43,270.695,86.0,2.024,0.0,English,94.78,Indie,69.48,game,100.0,True,97.19
8,502,33.1,15.0,6.35,2.645,Indie,77.69,False,96.02,Full Xbox Controller Support,20.12,success,100.0,GameHouse,2.39,0.629,0.0,0.482,0.0,Indie,77.69,False,77.29,False,82.27,Dead,100.0,1.0,1.0,False,80.48,False,68.53,75.643,75.0,True,100.0,3.0,3.0,5.681,6.0,GameHouse,2.39,276.273,88.5,1.865,0.0,English,95.02,Singleplayer,58.96,game,100.0,True,98.01
9,548,19.962,12.0,6.727,2.68,Indie,76.46,False,97.45,Full Xbox Controller Support,16.97,success,100.0,Alawar Casual,2.55,0.445,0.0,0.343,0.0,Indie,76.46,False,80.84,False,84.12,Dead,100.0,1.0,1.0,False,80.47,False,70.99,75.75,76.0,True,100.0,3.0,3.0,5.73,6.0,Alawar Casual,5.47,226.828,56.5,1.774,0.0,English,96.72,Indie,65.88,game,100.0,True,97.81
