,high_risk_genres,low_risk_genres,platform_strategy,pricing_strategy,dlc_strategy,age_rating
0.0,1.0,,0.8205546492659054,,,0.8373284645738854
1.0,,,0.824955695182858,,,
2.0,,,0.811965811965812,,,
3.0,,,0.8524027459954233,,,
18.0,,,,,,0.7622519238558121
45.0,,0.0,,,,
79.0,,0.0,,,,
202.0,,0.0,,,,
527.0,,0.0,,,,
662.0,,0.0,,,,
783.0,1.0,,,,,
784.0,1.0,,,,,
785.0,1.0,,,,,
786.0,1.0,,,,,
787.0,1.0,,,,,
789.0,1.0,,,,,
791.0,1.0,,,,,
792.0,1.0,,,,,
800.0,1.0,,,,,
976.0,,0.0,,,,
1064.0,,0.0,,,,
1068.0,,0.0,,,,
1238.0,,0.0,,,,
1243.0,,0.0,,,,
