genre,game_count,death_rate
"Adventure, Free To Play, Indie, RPG",16,1.0
"Action, Casual, Indie, Sports",14,1.0
"Free To Play, Massively Multiplayer, RPG",11,1.0
"Free To Play, Indie",17,1.0
"Casual, RPG",20,1.0
"Casual, Indie, Simulation, Sports, Strategy",13,1.0
"Casual, Indie, Early Access",16,1.0
"Adventure, Simulation, Strategy",10,1.0
"Adventure, Casual, Strategy",23,1.0
"Adventure, Casual, Free To Play, Indie",29,1.0
"Action, Indie, Sports",13,1.0
"Action, Indie, Racing",27,1.0
Video Production,15,1.0
"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",17,1.0
"Action, Adventure, Casual, Free To Play, Indie",10,1.0
"Casual, Indie, RPG",47,0.9787234042553191
"Adventure, Casual, Simulation",44,0.9772727272727273
"Adventure, Casual, Indie, Strategy",42,0.9761904761904762
"Casual, Indie",482,0.9730290456431535
"Adventure, Casual, Indie, RPG",96,0.96875
"Action, Adventure, Casual, Indie, RPG",57,0.9649122807017544
"Adventure, Casual, Indie",423,0.9621749408983451
"Adventure, Indie, Free To Play",23,0.9565217391304348
"Adventure, Casual",297,0.9562289562289562
"Action, Casual, Free To Play, Indie",21,0.9523809523809523
"Action, Adventure, Free To Play, Indie",21,0.9523809523809523
"Adventure, Casual, Simulation, Strategy",20,0.95
"Indie, RPG, Strategy, Early Access",19,0.9473684210526315
"Adventure, Indie, RPG, Free To Play",19,0.9473684210526315
Casual,312,0.9455128205128205
"Adventure, Strategy",18,0.9444444444444444
"Action, Casual, Indie, Early Access",18,0.9444444444444444
"Animation & Modeling, Design & Illustration",18,0.9444444444444444
"Action, Casual, Indie",250,0.944
"Free To Play, Indie, Strategy",17,0.9411764705882353
"Adventure, RPG, Simulation, Strategy",17,0.9411764705882353
"Action, Adventure, Casual, Indie, Strategy",33,0.9393939393939394
"Action, Indie, Strategy, Early Access",16,0.9375
"Casual, Indie, Sports",16,0.9375
"Casual, Free To Play, Indie, Simulation",16,0.9375
"Action, Casual, Indie, Strategy",60,0.9333333333333333
"Adventure, Free To Play",15,0.9333333333333333
Indie,264,0.9318181818181818
"Casual, RPG, Simulation",28,0.9285714285714286
"Casual, Simulation, Sports",14,0.9285714285714286
"Action, Indie, RPG, Strategy",27,0.9259259259259259
"Adventure, Free To Play, Indie",27,0.9259259259259259
"Indie, RPG",160,0.925
"Casual, Indie, Strategy",221,0.9230769230769231
Audio Production,13,0.9230769230769231
"Indie, Simulation, Free To Play",13,0.9230769230769231
"Adventure, Indie",609,0.922824302134647
"Indie, Strategy, Early Access",25,0.92
"Adventure, Casual, RPG",25,0.92
"Action, Indie",692,0.9161849710982659
"Adventure, Indie, Simulation",95,0.9157894736842105
Adventure,483,0.9151138716356108
"Adventure, Indie, RPG",286,0.9090909090909091
"Casual, Sports",11,0.9090909090909091
"Action, Adventure, Casual, Indie, Simulation",42,0.9047619047619048
"Action, Casual",51,0.9019607843137255
"Action, Casual, Indie, RPG, Strategy",10,0.9
"Free To Play, Indie, Simulation",10,0.9
"RPG, Simulation",20,0.9
"Action, Casual, Indie, Strategy, Free To Play",10,0.9
"Action, Adventure, Casual, Simulation",10,0.9
"Action, Adventure, Casual, Indie",159,0.89937106918239
"Action, Free To Play, Indie",39,0.8974358974358975
"Adventure, Casual, Indie, Simulation",117,0.8974358974358975
"Action, Adventure, Casual, Indie, RPG, Strategy",19,0.8947368421052632
"Casual, Indie, Strategy, Early Access",19,0.8947368421052632
"Action, Adventure, Indie",591,0.8934010152284264
"Indie, Simulation, Sports, Strategy",28,0.8928571428571429
"Indie, Strategy",222,0.8918918918918919
"Adventure, Casual, Indie, Early Access",18,0.8888888888888888
"Indie, Early Access",18,0.8888888888888888
"Indie, Simulation, Sports",17,0.8823529411764706
"Adventure, Indie, Strategy",59,0.8813559322033898
"Casual, Indie, RPG, Simulation",73,0.8767123287671232
"Casual, Simulation",121,0.8760330578512396
"Action, Casual, Indie, Simulation",39,0.8717948717948718
"Action, Adventure, Indie, Early Access",54,0.8703703703703703
"Casual, Indie, Simulation, Strategy, Early Access",23,0.8695652173913043
"Adventure, Casual, Indie, RPG, Strategy",38,0.868421052631579
"Adventure, Casual, Free To Play",15,0.8666666666666667
"Action, Adventure, Casual, Indie, Early Access",15,0.8666666666666667
"Action, Indie, RPG",126,0.8650793650793651
"Casual, Simulation, Strategy",44,0.8636363636363636
"Adventure, Casual, Indie, RPG, Simulation",71,0.8591549295774648
"Adventure, Indie, Early Access",21,0.8571428571428571
"Action, Racing",14,0.8571428571428571
Free To Play,21,0.8571428571428571
"Action, Adventure, Early Access",14,0.8571428571428571
"Action, Adventure, Indie, Free To Play",21,0.8571428571428571
"Action, Casual, Indie, Racing",14,0.8571428571428571
Sports,35,0.8571428571428571
"Action, Indie, Simulation",75,0.8533333333333334
"Action, Casual, Indie, RPG",27,0.8518518518518519
"Adventure, RPG, Simulation",20,0.85
"Action, Casual, Simulation",20,0.85
"Casual, Indie, Simulation",313,0.8498402555910544
"Indie, Simulation",178,0.848314606741573
"Action, Indie, RPG, Early Access",26,0.8461538461538461
"Casual, Free To Play",58,0.8448275862068966
"Casual, Free To Play, Indie",32,0.84375
"Indie, Simulation, Strategy",311,0.842443729903537
"Casual, Strategy",69,0.8405797101449275
"Action, Adventure, Simulation",31,0.8387096774193549
"Action, Indie, Strategy",86,0.8372093023255814
"Action, Adventure, Indie, RPG",319,0.8338557993730408
"Casual, Indie, Simulation, Sports",18,0.8333333333333334
"Adventure, Casual, Indie, Simulation, Strategy",42,0.8333333333333334
"Action, Indie, Early Access",54,0.8333333333333334
"Action, Adventure, Strategy",24,0.8333333333333334
"Adventure, Indie, RPG, Early Access",18,0.8333333333333334
"Action, Adventure, Indie, Simulation, Strategy",18,0.8333333333333334
"Casual, Indie, Simulation, Strategy",212,0.8301886792452831
"Casual, Indie, Simulation, Early Access",41,0.8292682926829268
"Casual, Indie, Free To Play",64,0.828125
"Indie, RPG, Simulation, Strategy",58,0.8275862068965517
"Action, Adventure, Indie, RPG, Strategy",46,0.8260869565217391
"Action, Adventure, Indie, Simulation",69,0.8260869565217391
"Indie, RPG, Strategy",154,0.8246753246753247
"Casual, Indie, RPG, Simulation, Early Access",17,0.8235294117647058
"Action, Indie, Free To Play",51,0.8235294117647058
"Casual, Indie, RPG, Simulation, Strategy",28,0.8214285714285714
"Massively Multiplayer, RPG",11,0.8181818181818182
"Action, Adventure, RPG, Strategy",11,0.8181818181818182
"Action, Adventure, Casual, RPG",11,0.8181818181818182
Racing,54,0.8148148148148148
"Adventure, Indie, RPG, Strategy",123,0.8130081300813008
"Action, Adventure, Casual, Indie, Free To Play",16,0.8125
"Audio Production, Utilities",16,0.8125
"Racing, Simulation, Sports",56,0.8035714285714286
Simulation,272,0.8014705882352942
"Action, Adventure, Indie, Strategy",25,0.8
"Action, Adventure, Indie, RPG, Simulation",45,0.8
"Action, Indie, Simulation, Strategy, Early Access",10,0.8
"Action, Adventure, Casual, Indie, Simulation, Free To Play",10,0.8
"Action, Adventure, Indie, RPG, Early Access",53,0.7924528301886793
"Action, Adventure, Free To Play",24,0.7916666666666666
"Adventure, Indie, RPG, Simulation",43,0.7906976744186046
"Adventure, RPG",108,0.7870370370370371
"Action, Adventure, Casual, Indie, Simulation, Strategy",14,0.7857142857142857
"Indie, Free To Play",14,0.7857142857142857
Utilities,88,0.7840909090909091
