type,genres,categories,windows,mac,linux,pc_min_requirements,controller_support,required_age,has_dlc,dlc_count,achievements_total,is_free,initial_price,final_price,discount_percent,metacritic_score,coming_soon,label_dead_binary,years_since_release,platform_count,is_multi_platform,language_count,genre_count,category_count,tag_count,price_change,price_change_percent,age_rating,release_era,tags_Unknown,"tags_Adventure, Casual, Hidden Object","tags_Action, Indie","tags_Action, Indie, Casual",tags_Utilities,"tags_Indie, Casual",tags_Simulation,tags_Strategy,tags_Indie,"tags_Action, Adventure, Indie",developers_Unknown,"developers_KOEI TECMO GAMES CO., LTD.",developers_Square Enix,"developers_CAPCOM Co., Ltd.","developers_Kairosoft Co.,Ltd",developers_Milestone S.r.l.,developers_Choice of Games,developers_Valve,developers_HeR Interactive,developers_Humongous Entertainment,publishers_Unknown,publishers_Square Enix,publishers_Ubisoft,publishers_SEGA,publishers_THQ Nordic,publishers_Electronic Arts,publishers_Devolver Digital,"publishers_KOEI TECMO GAMES CO., LTD.",publishers_Slitherine Ltd.,publishers_Nacon,supported_languages_English,supported_languages_Unknown,"supported_languages_English, Japanese","supported_languages_English, Simplified Chinese",supported_languages_Simplified Chinese,"supported_languages_English, Russian","supported_languages_English, French, Italian, German, Spanish - Spain","supported_languages_English, Japanese, Simplified Chinese, Traditional Chinese","supported_languages_English, Japanese, Simplified Chinese","supported_languages_English, Simplified Chinese, Traditional Chinese"
1,2,2,True,True,True,27,17,0.0,False,0.0,0.0,False,18.5,18.5,0.0,77.0,False,1,24.306639288158795,3,1,9,1,1,18,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,True,True,27,17,0.0,False,0.0,0.0,False,18.5,18.5,0.0,77.0,False,1,24.8870636550308,3,1,9,1,1,20,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,True,False,27,17,0.0,False,0.0,0.0,False,36.95,36.95,0.0,65.0,False,1,21.557837097878167,2,1,8,1,1,20,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,True,True,27,17,0.0,False,0.0,0.0,False,18.5,18.5,0.0,71.0,False,1,24.306639288158795,3,1,3,1,1,20,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,True,True,21,17,0.0,False,0.0,0.0,False,36.95,36.95,0.0,77.0,False,1,21.305954825462013,3,1,11,1,1,20,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,False,True,10501,17,0.0,False,0.0,0.0,False,73.95,73.95,0.0,77.0,False,1,19.901437371663246,2,1,9,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,False,True,7727,17,0.0,False,0.0,0.0,False,36.95,36.95,0.0,77.0,False,1,19.392197125256672,2,1,1,1,1,19,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,True,False,True,24,3,0.0,True,1.0,13.0,False,73.95,73.95,0.0,87.0,False,1,19.307323750855577,2,1,18,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,True,True,24,3,0.0,True,2.0,15.0,False,36.95,36.95,0.0,90.0,False,1,17.949349760438057,3,1,27,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,False,True,24,3,0.0,True,1.0,23.0,False,73.95,73.95,0.0,90.0,False,1,17.949349760438057,2,1,17,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,404,404,True,False,False,7742,17,0.0,False,0.0,66.0,True,55.95,43.95,0.0,77.0,False,1,15.175906913073238,1,0,1,2,2,20,-12.0,-21.44772117962466,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,249.0,12.45,95.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-236.55,-95.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,110.95,83.21,90.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-27.74000000000001,-25.0022532672375,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,2,True,True,True,8065,17,18.0,False,0.0,44.0,False,18.5,18.5,0.0,81.0,False,1,19.523613963039015,3,1,3,1,1,20,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,110.95,83.21,90.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-27.74000000000001,-25.0022532672375,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,550,550,True,True,True,16925,17,18.0,False,0.0,0.0,True,55.95,43.95,0.0,77.0,False,1,16.28473648186174,3,1,6,2,2,18,-12.0,-21.44772117962466,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1220,1220,True,True,True,16963,17,0.0,False,0.0,0.0,False,43.95,43.95,0.0,75.0,False,1,19.080082135523615,3,1,1,2,2,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1220,1220,True,True,True,16921,17,0.0,False,0.0,22.0,False,43.95,43.95,0.0,84.0,False,1,18.978781656399725,3,1,5,2,2,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
