model,metric,mean,ci_lower,ci_upper,n_windows
Logistic,f1_macro,0.9406907652446783,0.9352232834560888,0.9461582470332678,5
Logistic,recall_dead,0.9475534406495172,0.9421081878935821,0.9529986934054523,5
Logistic,precision_dead,0.9769332759667787,0.9740301547173322,0.9798363972162252,5
Logistic,pr_auc,0.9940861898828002,0.9926698305776531,0.9955025491879472,5
Threshold_t20,f1_macro,0.8485783266028456,0.8424017616077457,0.8547548915979455,5
Threshold_t20,recall_dead,0.7984661071907879,0.7895898608985504,0.8073423534830254,5
Threshold_t20,precision_dead,0.9943079432099363,0.9927065143268091,0.9959093720930635,5
Threshold_t100,f1_macro,0.8920699977445248,0.8835144147610645,0.900625580727985,5
Threshold_t100,recall_dead,0.9976917606981599,0.9961782816920076,0.9992052397043122,5
Threshold_t100,precision_dead,0.8922331164954505,0.8835545087843719,0.900911724206529,5
Majority,f1_macro,0.4084444131096143,0.4055191093369917,0.41136971688223695,5
Majority,recall_dead,1.0,1.0,1.0,5
Majority,precision_dead,0.6905179252732392,0.6821501330067459,0.6988857175397325,5
