appid,best_community_idx,best_community_id,similarity,above_threshold
878110,28,28,0.03944867104291916,False
1074340,2,2,0.6302217245101929,False
3694360,2,2,0.6514945030212402,False
1245430,2,2,0.5251666307449341,False
338040,2,2,0.43125829100608826,False
355020,12,12,0.6455967426300049,False
2637070,2,2,0.4571493864059448,False
3279100,28,28,0.454088419675827,False
2520870,2,2,0.47913533449172974,False
813530,2,2,0.4398299753665924,False
1582650,2,2,0.5194098949432373,False
531180,32,32,0.45966431498527527,False
2512620,36,36,0.4110398590564728,False
37940,23,23,0.5130900740623474,False
538100,2,2,0.6468720436096191,False
665370,2,2,0.5242040157318115,False
2613060,2,2,0.440573513507843,False
6370,7,7,0.45795372128486633,False
2612700,11,11,0.5320785045623779,False
1100150,27,27,0.44808560609817505,False
2412490,23,23,0.6206588745117188,False
395860,2,2,0.5948336720466614,False
844850,27,27,0.5915441513061523,False
529640,27,27,0.4987291097640991,False
628040,31,31,0.3795638084411621,False
1016770,23,23,0.5794677138328552,False
915330,2,2,0.460010826587677,False
3169620,2,2,0.2410862147808075,False
1700270,2,2,0.5670084357261658,False
2743970,21,21,0.33793744444847107,False
797400,21,21,0.44568878412246704,False
1039960,23,23,0.49058371782302856,False
20530,2,2,0.45698097348213196,False
2473640,11,11,0.4812382459640503,False
672150,11,11,0.26066914200782776,False
1040460,2,2,0.5402345061302185,False
1649010,12,12,0.3979203999042511,False
716390,23,23,0.5130900740623474,False
1089790,2,2,0.5224753618240356,False
491100,2,2,0.7642319798469543,True
130,12,12,0.41515910625457764,False
496450,2,2,0.25615161657333374,False
1135260,2,2,0.5313289761543274,False
22700,23,23,0.5355195999145508,False
655360,2,2,0.6380173563957214,False
21100,2,2,0.43864381313323975,False
3572870,23,23,0.543053925037384,False
1356670,20,20,0.43811681866645813,False
225000,2,2,0.49936866760253906,False
1271280,11,11,0.4194314777851105,False
2757630,36,36,0.4595479667186737,False
3494930,21,21,0.5446427464485168,False
102600,1,1,0.5266580581665039,False
674550,27,27,0.6963456869125366,False
1025140,2,2,0.5394068956375122,False
1890650,7,7,0.4531099498271942,False
1882240,23,23,0.46481573581695557,False
701750,27,27,0.6656280755996704,False
3677410,27,27,0.4902949929237366,False
931950,21,21,0.4697674810886383,False
1998330,27,27,0.44044655561447144,False
5280,27,27,0.3620079755783081,False
2333030,2,2,0.4590384364128113,False
2011600,7,7,0.3710308372974396,False
242460,23,23,0.3877738416194916,False
605180,2,2,0.6051473021507263,False
260570,7,7,0.5721762180328369,False
1020470,2,2,0.6181604862213135,False
616040,2,2,0.5719977021217346,False
713070,2,2,0.46877890825271606,False
420290,12,12,0.48065847158432007,False
694500,21,21,0.4818462133407593,False
466490,2,2,0.5146408081054688,False
1600,21,21,0.42035871744155884,False
880950,27,27,0.30738237500190735,False
1803960,27,27,0.5170444250106812,False
1303580,21,21,0.49448156356811523,False
2435900,2,2,0.5369666218757629,False
283270,1,1,0.4123102128505707,False
1287800,2,2,0.39340412616729736,False
2381620,2,2,0.42371460795402527,False
2192900,2,2,0.5561204552650452,False
652980,2,2,0.517913818359375,False
4540,23,23,0.503659725189209,False
247750,1,1,0.50458824634552,False
1471410,2,2,0.5045453310012817,False
1575710,28,28,0.03944867104291916,False
588010,23,23,0.2889382243156433,False
2102020,2,2,0.3175242841243744,False
436670,27,27,0.3535374104976654,False
3391050,36,36,0.5438612699508667,False
719730,2,2,0.44338566064834595,False
3108790,11,11,0.5710924863815308,False
1218360,36,36,0.569080114364624,False
1354910,23,23,0.575922966003418,False
668630,2,2,0.5573572516441345,False
1118840,2,2,0.5505020022392273,False
1868170,27,27,0.4532037675380707,False
673850,2,2,0.5341744422912598,False
390470,2,2,0.5240707993507385,False
370550,2,2,0.792273223400116,True
1277950,2,2,0.5833992958068848,False
1740300,27,27,0.5756847262382507,False
508300,23,23,0.4841291308403015,False
1116290,2,2,0.6004530191421509,False
