appid,louvain_community_id,community_size,in_graph
878110,55,1,True
1074340,56,1,True
3694360,57,1,True
1245430,58,1,True
338040,59,1,True
355020,60,1,True
2637070,61,1,True
3279100,62,1,True
2520870,63,1,True
813530,64,1,True
1582650,65,1,True
531180,66,1,True
2512620,67,1,True
37940,68,1,True
538100,69,1,True
665370,70,1,True
2613060,71,1,True
6370,72,1,True
2612700,73,1,True
1100150,74,1,True
2412490,75,1,True
395860,76,1,True
844850,77,1,True
529640,78,1,True
628040,79,1,True
1016770,80,1,True
915330,81,1,True
3169620,82,1,True
1700270,83,1,True
2743970,84,1,True
797400,85,1,True
1039960,86,1,True
20530,87,1,True
2473640,88,1,True
672150,89,1,True
1040460,90,1,True
1649010,91,1,True
716390,92,1,True
1089790,93,1,True
491100,94,1,True
130,95,1,True
496450,96,1,True
1135260,97,1,True
22700,98,1,True
655360,99,1,True
21100,100,1,True
3572870,101,1,True
1356670,102,1,True
225000,103,1,True
1271280,104,1,True
