appid,louvain_community_id,community_size,in_graph
878110,276,1,True
1074340,277,1,True
3694360,278,1,True
1245430,279,1,True
338040,280,1,True
355020,281,1,True
2637070,282,1,True
3279100,283,1,True
2520870,284,1,True
813530,285,1,True
1582650,286,1,True
531180,287,1,True
2512620,288,1,True
37940,289,1,True
538100,290,1,True
665370,291,1,True
2613060,292,1,True
6370,293,1,True
2612700,294,1,True
1100150,295,1,True
2412490,296,1,True
395860,297,1,True
844850,298,1,True
529640,299,1,True
628040,300,1,True
1016770,301,1,True
915330,302,1,True
3169620,303,1,True
1700270,304,1,True
2743970,305,1,True
797400,306,1,True
1039960,307,1,True
20530,308,1,True
2473640,309,1,True
672150,310,1,True
1040460,311,1,True
1649010,312,1,True
716390,313,1,True
1089790,314,1,True
491100,315,1,True
130,316,1,True
496450,317,1,True
1135260,318,1,True
22700,319,1,True
655360,320,1,True
21100,321,1,True
3572870,322,1,True
1356670,323,1,True
225000,324,1,True
1271280,325,1,True
