node_id,community_id,community_size
1158720,0,87
2408920,0,87
1717770,0,87
3272300,0,87
2387780,0,87
1073230,0,87
616620,0,87
1284110,0,87
348190,0,87
671610,0,87
1978590,0,87
699670,0,87
317470,0,87
796340,0,87
670820,0,87
1051200,0,87
2359470,0,87
3301740,0,87
34630,0,87
34640,0,87
2742840,0,87
222520,0,87
3101720,0,87
332570,0,87
763010,0,87
1104250,0,87
2217580,0,87
1948430,0,87
3098490,0,87
2662780,0,87
2701250,0,87
220860,0,87
2820800,0,87
2983510,0,87
2613890,0,87
625340,0,87
341390,0,87
2628460,0,87
656040,0,87
251950,0,87
883130,0,87
678450,0,87
625860,0,87
350700,0,87
1058830,0,87
2787840,0,87
718730,0,87
2931920,0,87
1058140,0,87
577710,0,87
1274130,0,87
2430730,0,87
2725650,0,87
990640,0,87
931090,0,87
97000,0,87
2497900,0,87
1141760,0,87
1061880,0,87
1477020,0,87
3561770,0,87
491110,0,87
386260,0,87
2630100,0,87
2464880,0,87
1559680,0,87
465780,0,87
2434340,0,87
674130,0,87
2555430,0,87
3253830,0,87
523660,0,87
770400,0,87
1078120,0,87
415860,0,87
1792010,0,87
1240050,0,87
2280060,0,87
674560,0,87
3104480,0,87
3093120,0,87
2538000,0,87
1000760,0,87
2981590,0,87
881690,0,87
1390350,0,87
58610,0,87
718940,1,11
1246020,1,11
3151900,1,11
1071090,1,11
572000,1,11
2320130,1,11
2464470,1,11
3015610,1,11
2250060,1,11
3147390,1,11
1568540,1,11
2819750,2,23
1167790,2,23
3569430,2,23
3247270,2,23
2909680,2,23
1058370,2,23
3001900,2,23
2209910,2,23
1591570,2,23
3389330,2,23
2904320,2,23
3393620,2,23
2347910,2,23
2789420,2,23
351800,2,23
1451740,2,23
2626910,2,23
787450,2,23
3048500,2,23
882410,2,23
519170,2,23
3376740,2,23
992310,2,23
1047810,3,10
282100,3,10
265730,3,10
885810,3,10
1184420,3,10
3185760,3,10
2877480,3,10
440540,3,10
593280,3,10
3221750,3,10
1958270,4,123
2900,4,123
1520850,4,123
463080,4,123
490370,4,123
808360,4,123
1961950,4,123
34900,4,123
809200,4,123
322030,4,123
701940,4,123
2956280,4,123
878350,4,123
2910,4,123
1498130,4,123
292660,4,123
885150,4,123
987020,4,123
1051310,4,123
1226160,4,123
2094600,4,123
1910130,4,123
748880,4,123
2971610,4,123
443070,4,123
1116540,4,123
12370,4,123
305920,4,123
2392500,4,123
1691970,4,123
2356310,4,123
1309480,4,123
91700,4,123
461600,4,123
683940,4,123
427510,4,123
299180,4,123
1620,4,123
402160,4,123
2998750,4,123
792120,4,123
1750570,4,123
547900,4,123
970560,4,123
823310,4,123
311240,4,123
1639990,4,123
1140570,4,123
299100,4,123
1610,4,123
1730650,4,123
1008020,4,123
2344820,4,123
1863390,4,123
3009460,4,123
1891090,4,123
2633170,4,123
711980,4,123
2322520,4,123
1315160,4,123
965760,4,123
1967700,4,123
12470,4,123
286200,4,123
355190,4,123
1706870,4,123
344340,4,123
1424300,4,123
876180,4,123
844380,4,123
960730,4,123
1131920,4,123
269110,4,123
1056490,4,123
2567520,4,123
1885690,4,123
287310,4,123
281450,4,123
2591070,4,123
1142500,4,123
1776490,4,123
1273480,4,123
2712540,4,123
2612660,4,123
905640,4,123
734080,4,123
2078910,4,123
2121190,4,123
2183650,4,123
973170,4,123
450020,4,123
1107470,4,123
275350,4,123
2004290,4,123
3400650,4,123
2796180,4,123
299150,4,123
299110,4,123
1129540,4,123
378570,4,123
1451480,4,123
1430200,4,123
843720,4,123
2516820,4,123
3132850,4,123
3175860,4,123
3134280,4,123
342130,4,123
708710,4,123
1975120,4,123
1899350,4,123
307150,4,123
568500,4,123
1021860,4,123
2622470,4,123
2357500,4,123
2184620,4,123
2175130,4,123
1380260,4,123
970570,4,123
2470300,4,123
426920,4,123
409000,4,123
3363030,5,66
1753490,5,66
488440,5,66
2996090,5,66
1469160,5,66
290470,5,66
2932040,5,66
2676770,5,66
3389240,5,66
2009390,5,66
2445330,5,66
1048830,5,66
497860,5,66
2208530,5,66
3243790,5,66
390100,5,66
1457430,5,66
1379130,5,66
3214430,5,66
1154120,5,66
2430450,5,66
3157850,5,66
2947940,5,66
283060,5,66
2447580,5,66
2182790,5,66
951480,5,66
1826980,5,66
3336960,5,66
1133730,5,66
2292370,5,66
1689070,5,66
2554670,5,66
620620,5,66
2293900,5,66
261430,5,66
231060,5,66
3386890,5,66
1175210,5,66
2321290,5,66
838330,5,66
658480,5,66
2126010,5,66
2229260,5,66
1945760,5,66
1943610,5,66
1230980,5,66
721030,5,66
542590,5,66
2781320,5,66
289780,5,66
411020,5,66
451130,5,66
384030,5,66
2082540,5,66
2841010,5,66
493370,5,66
747970,5,66
2996570,5,66
3126180,5,66
890400,5,66
3019990,5,66
3402270,5,66
1130700,5,66
2857560,5,66
1618310,5,66
1040430,6,47
3153960,6,47
2899640,6,47
3306780,6,47
1844240,6,47
1450150,6,47
767420,6,47
680310,6,47
3222850,6,47
2190200,6,47
2953560,6,47
3301340,6,47
1409160,6,47
389570,6,47
1690690,6,47
843660,6,47
3019780,6,47
1572380,6,47
2158860,6,47
742170,6,47
3058030,6,47
2408310,6,47
1717170,6,47
2814340,6,47
1497570,6,47
788470,6,47
821670,6,47
2905970,6,47
2921870,6,47
3064270,6,47
3351670,6,47
3110130,6,47
2516920,6,47
821610,6,47
3071740,6,47
1367490,6,47
2774240,6,47
2340400,6,47
3147710,6,47
801120,6,47
3471280,6,47
3030580,6,47
3121490,6,47
1049880,6,47
1473250,6,47
778700,6,47
2516940,6,47
2575900,7,138
315320,7,138
1967450,7,138
1004240,7,138
1572270,7,138
1517340,7,138
323420,7,138
393220,7,138
1200730,7,138
1182470,7,138
2693730,7,138
3270680,7,138
687900,7,138
2839600,7,138
581200,7,138
779060,7,138
1721870,7,138
508680,7,138
2717010,7,138
714130,7,138
2368080,7,138
1691280,7,138
1453140,7,138
1903560,7,138
1108620,7,138
328760,7,138
1956510,7,138
3698690,7,138
663110,7,138
2547120,7,138
1418430,7,138
1649630,7,138
2331130,7,138
619490,7,138
1484800,7,138
602590,7,138
1618290,7,138
834380,7,138
878750,7,138
3048280,7,138
863940,7,138
422500,7,138
388620,7,138
486480,7,138
235660,7,138
327900,7,138
1662690,7,138
773810,7,138
385030,7,138
1487270,7,138
978970,7,138
2532340,7,138
1022480,7,138
514460,7,138
1341160,7,138
273840,7,138
925600,7,138
1791700,7,138
907290,7,138
622010,7,138
982220,7,138
1623930,7,138
542270,7,138
517160,7,138
2696520,7,138
2965660,7,138
365080,7,138
846800,7,138
439250,7,138
238260,7,138
506830,7,138
2595880,7,138
2645580,7,138
1191120,7,138
359800,7,138
1315020,7,138
513560,7,138
2919660,7,138
420740,7,138
1146950,7,138
469920,7,138
784110,7,138
2224640,7,138
3141580,7,138
1663310,7,138
1683610,7,138
1148770,7,138
1223870,7,138
2185180,7,138
2345770,7,138
688630,7,138
1841100,7,138
437530,7,138
2195140,7,138
2676840,7,138
624690,7,138
1100410,7,138
853890,7,138
2889980,7,138
431290,7,138
493770,7,138
602920,7,138
2265230,7,138
362400,7,138
1943710,7,138
1494920,7,138
524120,7,138
826600,7,138
929490,7,138
1937840,7,138
2591760,7,138
462620,7,138
2562400,7,138
3107350,7,138
3392510,7,138
2726870,7,138
1121530,7,138
2072840,7,138
431710,7,138
2671970,7,138
376240,7,138
1836030,7,138
1549750,7,138
486380,7,138
3303150,7,138
477730,7,138
301460,7,138
2351420,7,138
2314160,7,138
966590,7,138
535660,7,138
1540570,7,138
1312950,7,138
362520,7,138
591790,7,138
3188550,7,138
2014180,7,138
1100030,7,138
1588940,8,129
58550,8,129
1306570,8,129
1946970,8,129
735290,8,129
3161620,8,129
2056220,8,129
1275670,8,129
674010,8,129
1669170,8,129
498580,8,129
3074440,8,129
1927740,8,129
457380,8,129
252470,8,129
471550,8,129
790060,8,129
3027290,8,129
1777430,8,129
2616420,8,129
225320,8,129
1955340,8,129
224980,8,129
604830,8,129
2415960,8,129
1028840,8,129
1249880,8,129
538410,8,129
1424870,8,129
1919040,8,129
224960,8,129
1783280,8,129
116100,8,129
2506580,8,129
1160870,8,129
2530490,8,129
2688680,8,129
15710,8,129
1678150,8,129
743550,8,129
1681160,8,129
944630,8,129
2654680,8,129
2392400,8,129
3444480,8,129
752800,8,129
602160,8,129
15700,8,129
1606280,8,129
1756330,8,129
1484720,8,129
2898270,8,129
2936220,8,129
3079970,8,129
2116850,8,129
225300,8,129
467820,8,129
1086030,8,129
1081260,8,129
557760,8,129
2113770,8,129
2178990,8,129
1209140,8,129
2749000,8,129
2083210,8,129
1345740,8,129
987400,8,129
107200,8,129
2897240,8,129
3473030,8,129
3618770,8,129
851980,8,129
390490,8,129
733020,8,129
3025940,8,129
1337010,8,129
979620,8,129
15750,8,129
2764750,8,129
726110,8,129
914170,8,129
500710,8,129
806860,8,129
2467810,8,129
998850,8,129
1757680,8,129
1477170,8,129
502740,8,129
726870,8,129
3029150,8,129
200650,8,129
1129220,8,129
342550,8,129
1932260,8,129
1518820,8,129
542480,8,129
396610,8,129
107210,8,129
1724140,8,129
454900,8,129
615400,8,129
574190,8,129
486360,8,129
2111870,8,129
764030,8,129
788190,8,129
326950,8,129
3351080,8,129
2575060,8,129
1937570,8,129
684650,8,129
1851390,8,129
1258710,8,129
944220,8,129
546440,8,129
674310,8,129
3111080,8,129
2752530,8,129
712770,8,129
1202900,8,129
2340500,8,129
848470,8,129
15740,8,129
887170,8,129
742250,8,129
397390,8,129
3074170,8,129
1931940,8,129
1002430,8,129
412880,9,69
3442040,9,69
3360010,9,69
3119520,9,69
1461200,9,69
1546870,9,69
928390,9,69
535910,9,69
553340,9,69
1729410,9,69
1907720,9,69
394720,9,69
871920,9,69
302380,9,69
620190,9,69
466210,9,69
1083300,9,69
259980,9,69
3536760,9,69
842640,9,69
773440,9,69
2969160,9,69
1984610,9,69
360720,9,69
2383860,9,69
847890,9,69
581130,9,69
1058430,9,69
771400,9,69
1056840,9,69
435790,9,69
1073390,9,69
2649080,9,69
1678180,9,69
919420,9,69
2014370,9,69
483850,9,69
3361470,9,69
345380,9,69
51010,9,69
2539350,9,69
791400,9,69
2119740,9,69
313340,9,69
1997180,9,69
2070880,9,69
550360,9,69
2088520,9,69
877590,9,69
1516490,9,69
550010,9,69
259940,9,69
970510,9,69
2227030,9,69
502550,9,69
463130,9,69
420440,9,69
439930,9,69
2199580,9,69
462480,9,69
2877720,9,69
3279910,9,69
1012110,9,69
1365760,9,69
355400,9,69
577490,9,69
596530,9,69
2848110,9,69
347940,9,69
2582660,10,82
2997980,10,82
1078350,10,82
959890,10,82
737050,10,82
1198850,10,82
3028150,10,82
1395850,10,82
959880,10,82
1975340,10,82
2300920,10,82
1687530,10,82
904360,10,82
2817620,10,82
1933650,10,82
1135830,10,82
1399690,10,82
1981500,10,82
1770210,10,82
1441840,10,82
1012030,10,82
2583430,10,82
1933660,10,82
2991400,10,82
1551530,10,82
1162130,10,82
339200,10,82
1272840,10,82
2299900,10,82
279440,10,82
251730,10,82
1015720,10,82
2864830,10,82
1015730,10,82
1287130,10,82
2659960,10,82
1414000,10,82
2398590,10,82
2429890,10,82
368760,10,82
1071490,10,82
2287970,10,82
1419750,10,82
2307300,10,82
733790,10,82
1405470,10,82
1342040,10,82
2891040,10,82
2166140,10,82
864480,10,82
1990590,10,82
2123140,10,82
1543430,10,82
407330,10,82
1312960,10,82
1731200,10,82
1600370,10,82
2914480,10,82
887530,10,82
1328890,10,82
2630020,10,82
1042600,10,82
1551670,10,82
1342090,10,82
2804550,10,82
3270020,10,82
3261920,10,82
2551290,10,82
2753270,10,82
1551560,10,82
1537910,10,82
1013870,10,82
1270210,10,82
1770390,10,82
791330,10,82
2765490,10,82
2420620,10,82
2350310,10,82
1570980,10,82
2529520,10,82
1967820,10,82
1278390,10,82
302570,11,45
433830,11,45
1445440,11,45
1766930,11,45
406110,11,45
2106560,11,45
2776020,11,45
501950,11,45
2465830,11,45
1162700,11,45
2766860,11,45
3015510,11,45
460580,11,45
1601740,11,45
1156060,11,45
2233790,11,45
1443430,11,45
840800,11,45
1548680,11,45
2757720,11,45
1307370,11,45
2838100,11,45
2779630,11,45
3462260,11,45
1557480,11,45
841350,11,45
702050,11,45
2824310,11,45
1117990,11,45
3233950,11,45
1139160,11,45
234650,11,45
2128940,11,45
619540,11,45
929200,11,45
931040,11,45
1377450,11,45
340050,11,45
2085150,11,45
2862520,11,45
2274480,11,45
907090,11,45
2006990,11,45
473470,11,45
2714970,11,45
631660,12,174
672770,12,174
1975570,12,174
2248180,12,174
2222720,12,174
405710,12,174
468100,12,174
1200860,12,174
845250,12,174
1026110,12,174
883070,12,174
573260,12,174
2522520,12,174
1972710,12,174
1745310,12,174
2672430,12,174
1965390,12,174
2868430,12,174
1136160,12,174
1953540,12,174
336060,12,174
2102670,12,174
3005640,12,174
1222300,12,174
2789460,12,174
2059310,12,174
24420,12,174
2460070,12,174
1012970,12,174
965590,12,174
1193090,12,174
418070,12,174
361320,12,174
854540,12,174
690060,12,174
3500070,12,174
454200,12,174
239840,12,174
3173130,12,174
352610,12,174
863560,12,174
2143540,12,174
1064140,12,174
1319850,12,174
1722840,12,174
2236300,12,174
1569520,12,174
769590,12,174
798560,12,174
2333390,12,174
3061500,12,174
864450,12,174
2458490,12,174
2160360,12,174
716340,12,174
873970,12,174
3476660,12,174
905490,12,174
959510,12,174
949050,12,174
446770,12,174
311440,12,174
1147330,12,174
1607310,12,174
2176570,12,174
32770,12,174
1302930,12,174
555150,12,174
1722860,12,174
3418780,12,174
3207930,12,174
496630,12,174
1261040,12,174
568030,12,174
2438970,12,174
595690,12,174
469730,12,174
230070,12,174
1682630,12,174
2529610,12,174
2874850,12,174
1848270,12,174
546980,12,174
3099690,12,174
2902370,12,174
2976870,12,174
1048740,12,174
837590,12,174
3599070,12,174
1422430,12,174
851110,12,174
1906830,12,174
1658310,12,174
1611580,12,174
2274980,12,174
3058140,12,174
2158270,12,174
1816010,12,174
663690,12,174
1076640,12,174
2989770,12,174
740780,12,174
331510,12,174
32630,12,174
2539910,12,174
1744570,12,174
3499520,12,174
1948100,12,174
2075050,12,174
496750,12,174
1027940,12,174
2660840,12,174
1259510,12,174
403560,12,174
1335230,12,174
1920780,12,174
1078510,12,174
1427210,12,174
1574700,12,174
2179510,12,174
369860,12,174
682000,12,174
1733060,12,174
668960,12,174
698320,12,174
2652500,12,174
1330560,12,174
520720,12,174
781610,12,174
2900670,12,174
2270600,12,174
280520,12,174
257030,12,174
3016840,12,174
316450,12,174
2329630,12,174
2386250,12,174
2443780,12,174
897030,12,174
454950,12,174
1032430,12,174
2053940,12,174
3256650,12,174
2417940,12,174
817720,12,174
809880,12,174
2666590,12,174
2358040,12,174
261820,12,174
2925410,12,174
1694260,12,174
1843730,12,174
762940,12,174
1118880,12,174
2827780,12,174
2854710,12,174
2802160,12,174
792860,12,174
1657880,12,174
1854250,12,174
1604060,12,174
930300,12,174
2678070,12,174
209850,12,174
2756380,12,174
2176560,12,174
587580,12,174
1787480,12,174
485330,12,174
2752720,12,174
1672880,12,174
686260,12,174
211260,12,174
732090,12,174
370230,13,1
2436480,14,119
793350,14,119
432310,14,119
2012540,14,119
461820,14,119
664780,14,119
266210,14,119
1103210,14,119
2287150,14,119
1028880,14,119
2719190,14,119
796580,14,119
938960,14,119
590670,14,119
760510,14,119
1715590,14,119
1238680,14,119
2935040,14,119
1851330,14,119
1724860,14,119
1281200,14,119
384890,14,119
1087270,14,119
814930,14,119
2220870,14,119
452180,14,119
1105300,14,119
823610,14,119
457550,14,119
1340560,14,119
3230020,14,119
389140,14,119
3509620,14,119
499620,14,119
891900,14,119
970710,14,119
1727040,14,119
518610,14,119
922400,14,119
758500,14,119
1647160,14,119
336150,14,119
577120,14,119
503710,14,119
326590,14,119
2384610,14,119
2976910,14,119
1571990,14,119
1301060,14,119
576030,14,119
951830,14,119
868660,14,119
1812060,14,119
1417340,14,119
2678340,14,119
820040,14,119
1937470,14,119
1107300,14,119
939770,14,119
441380,14,119
265990,14,119
2075960,14,119
833090,14,119
1590230,14,119
300220,14,119
448270,14,119
1779200,14,119
423810,14,119
2022290,14,119
2537300,14,119
746580,14,119
443460,14,119
3179270,14,119
1126960,14,119
2620220,14,119
853240,14,119
1326270,14,119
202690,14,119
1579880,14,119
2379900,14,119
2943150,14,119
346820,14,119
301920,14,119
804350,14,119
752180,14,119
1470310,14,119
2089350,14,119
1211600,14,119
921610,14,119
761010,14,119
879610,14,119
449540,14,119
889260,14,119
1058770,14,119
2013360,14,119
321880,14,119
1345870,14,119
599460,14,119
378110,14,119
664800,14,119
3639370,14,119
1569700,14,119
2293850,14,119
975270,14,119
528020,14,119
1097870,14,119
406150,14,119
614970,14,119
1664220,14,119
1584330,14,119
2082410,14,119
1395230,14,119
1158280,14,119
1873540,14,119
378070,14,119
3526830,14,119
2081460,14,119
449140,14,119
1534340,14,119
2022850,15,30
839630,15,30
401490,15,30
333340,15,30
1423370,15,30
747200,15,30
367280,15,30
622940,15,30
2562380,15,30
3195680,15,30
1168430,15,30
3243760,15,30
525140,15,30
2198830,15,30
1702120,15,30
400400,15,30
1136370,15,30
2315010,15,30
3486560,15,30
1416240,15,30
2430700,15,30
943260,15,30
699970,15,30
363510,15,30
2461050,15,30
2416650,15,30
364410,15,30
1368250,15,30
544330,15,30
894940,15,30
3419160,16,116
1706850,16,116
1627680,16,116
3145080,16,116
2263470,16,116
1654810,16,116
859740,16,116
1202150,16,116
2102520,16,116
690630,16,116
3443770,16,116
1686870,16,116
1190160,16,116
2796340,16,116
3529740,16,116
2404000,16,116
490860,16,116
867480,16,116
1201280,16,116
2390230,16,116
389170,16,116
746890,16,116
367800,16,116
1332450,16,116
3551120,16,116
881060,16,116
2106610,16,116
758930,16,116
611720,16,116
216260,16,116
1048090,16,116
3194070,16,116
530360,16,116
1629710,16,116
1386870,16,116
1246940,16,116
1952870,16,116
2793380,16,116
673260,16,116
1129660,16,116
3497720,16,116
796940,16,116
3306200,16,116
1028850,16,116
337700,16,116
813650,16,116
711190,16,116
782610,16,116
2181720,16,116
2799350,16,116
765410,16,116
724130,16,116
1737340,16,116
3436440,16,116
3468640,16,116
2836860,16,116
748540,16,116
843630,16,116
3205080,16,116
668210,16,116
1246930,16,116
1908720,16,116
3134780,16,116
317410,16,116
2218400,16,116
2846060,16,116
2249690,16,116
1715730,16,116
3450230,16,116
1711610,16,116
3019400,16,116
2276420,16,116
1596310,16,116
276240,16,116
512680,16,116
3343770,16,116
3030360,16,116
1146230,16,116
1079510,16,116
809770,16,116
748830,16,116
1291240,16,116
1155880,16,116
2384920,16,116
1385780,16,116
649640,16,116
2890250,16,116
1950440,16,116
397810,16,116
353890,16,116
297470,16,116
432580,16,116
3025290,16,116
682970,16,116
1220160,16,116
788210,16,116
2262930,16,116
1701370,16,116
1027140,16,116
1433420,16,116
